Europawahl  13. Juni 2004;;;;;;;;(Stand 21.06.2004 17:00);;;;;;;;;;;;;;;;
Nr.;Name;Wahlbe-;abgegeb.;Wahlbet.;ungültige;;gültige;;SPÖ;;ÖVP;;FPÖ;;GRÜNE;;LINKE;;MARTIN;;erste Eingabe;;letzte Eingabe;
;;rechtigte;Stimmen;in %;Stimmen;in %;Stimmen;in %;Stimmen;Ant. %;Stimmen;Ant. %;Stimmen;Ant. %;Stimmen;Ant. %;Stimmen;Ant. %;Stimmen;Ant. %;Datum;Zeit;Datum;Zeit
40506;Hartkirchen                   ;3.080;1.404;45,58;39;2,78;1.365;97,22;391;28,64;574;42,05;72;5,27;118;8,64;1;0,07;209;15,31;13.06.04;16:16:49;13.06.04;16:16:49
40507;Hinzenbach                    ;1.431;620;43,33;22;3,55;598;96,45;223;37,29;239;39,97;26;4,35;40;6,69;1;0,17;69;11,54;13.06.04;15:10:45;13.06.04;15:10:45
40508;Prambachkirchen               ;2.095;1.040;49,64;22;2,12;1.018;97,88;265;26,03;517;50,79;50;4,91;88;8,64;8;0,79;90;8,84;13.06.04;15:13:23;13.06.04;15:13:23
40509;Pupping                       ;1.409;722;51,24;17;2,35;705;97,65;214;30,35;279;39,57;54;7,66;54;7,66;5;0,71;99;14,04;13.06.04;13:49:34;13.06.04;13:49:34
40510;St.Marienkirchen an d. Polsenz;1.691;781;46,19;41;5,25;740;94,75;211;28,51;307;41,49;42;5,68;74;10,00;3;0,41;103;13,92;13.06.04;13:01:59;13.06.04;13:01:59
40511;Scharten                      ;1.546;815;52,72;11;1,35;804;98,65;274;34,08;245;30,47;69;8,58;103;12,81;3;0,37;110;13,68;13.06.04;15:58:56;13.06.04;15:58:56
40512;Stroheim                      ;1.233;548;44,44;21;3,83;527;96,17;88;16,70;321;60,91;21;3,98;30;5,69;0;0,00;67;12,71;13.06.04;14:02:35;13.06.04;14:02:35
40600;Bezirk Freistadt                     ;48.540;24.438;50,35;881;3,61;23.557;96,39;7.302;31,00;10.312;43,77;923;3,92;2.307;9,79;142;0,60;2.571;10,91;13.06.04;17:13:23;13.06.04;17:13:23
40601;Freistadt                     ;5.547;2.659;47,94;82;3,08;2.577;96,92;835;32,40;904;35,08;132;5,12;373;14,47;20;0,78;313;12,15;13.06.04;16:36:05;13.06.04;16:36:05
40602;Grünbach                      ;1.333;616;46,21;24;3,90;592;96,10;133;22,47;276;46,62;35;5,91;51;8,61;1;0,17;96;16,22;13.06.04;16:48:42;13.06.04;16:48:42
40603;Gutau                         ;2.013;952;47,29;29;3,05;923;96,95;299;32,39;420;45,50;42;4,55;85;9,21;4;0,43;73;7,91;13.06.04;16:42:22;13.06.04;16:42:22
40604;Hagenberg im Mühlkreis        ;1.913;904;47,26;28;3,10;876;96,90;326;37,21;233;26,60;28;3,20;154;17,58;10;1,14;125;14,27;13.06.04;16:59:01;13.06.04;16:59:01
40605;Hirschbach im Mühlkreis       ;892;531;59,53;18;3,39;513;96,61;124;24,17;247;48,15;21;4,09;64;12,48;4;0,78;53;10,33;13.06.04;13:56:21;13.06.04;14:13:21
40606;Kaltenberg                    ;481;320;66,53;25;7,81;295;92,19;24;8,14;231;78,31;15;5,08;7;2,37;0;0,00;18;6,10;13.06.04;14:37:59;13.06.04;14:37:59
40607;Kefermarkt                    ;1.573;823;52,32;39;4,74;784;95,26;273;34,82;334;42,60;26;3,32;62;7,91;3;0,38;86;10,97;13.06.04;15:45:41;13.06.04;15:45:41
40608;Königswiesen                  ;2.385;1.113;46,67;34;3,05;1.079;96,95;282;26,14;591;54,77;61;5,65;59;5,47;2;0,19;84;7,78;13.06.04;14:03:35;13.06.04;14:03:35
40609;Lasberg                       ;2.117;1.142;53,94;50;4,38;1.092;95,62;275;25,18;533;48,81;40;3,66;109;9,98;5;0,46;130;11,90;13.06.04;15:27:17;13.06.04;15:27:17
40610;Leopoldschlag                 ;796;466;58,54;27;5,79;439;94,21;69;15,72;257;58,54;24;5,47;39;8,88;5;1,14;45;10,25;13.06.04;13:44:57;13.06.04;13:44:57
40611;Liebenau                      ;1.389;744;53,56;26;3,49;718;96,51;221;30,78;403;56,13;14;1,95;31;4,32;2;0,28;47;6,55;13.06.04;15:28:08;13.06.04;15:28:08
40612;Neumarkt im Mühlkreis         ;2.287;1.188;51,95;39;3,28;1.149;96,72;338;29,42;491;42,73;56;4,87;130;11,31;9;0,78;125;10,88;13.06.04;17:13:23;13.06.04;17:13:23
40613;Pierbach                      ;753;327;43,43;9;2,75;318;97,25;85;26,73;177;55,66;7;2,20;10;3,14;4;1,26;35;11,01;13.06.04;13:16:47;13.06.04;13:16:47
40614;Pregarten                     ;3.704;1.689;45,60;54;3,20;1.635;96,80;617;37,74;545;33,33;75;4,59;180;11,01;7;0,43;211;12,91;13.06.04;16:09:31;13.06.04;16:09:31
40615;Rainbach im Mühlkreis         ;2.166;1.189;54,89;32;2,69;1.157;97,31;322;27,83;589;50,91;40;3,46;105;9,08;7;0,61;94;8,12;13.06.04;16:21:11;13.06.04;16:21:11
40616;Sandl                         ;1.111;584;52,57;23;3,94;561;96,06;258;45,99;178;31,73;14;2,50;45;8,02;3;0,53;63;11,23;13.06.04;16:12:41;13.06.04;16:12:41
40617;St.Leonhard bei Freistadt     ;1.147;589;51,35;21;3,57;568;96,43;175;30,81;282;49,65;13;2,29;40;7,04;2;0,35;56;9,86;13.06.04;16:21:27;13.06.04;16:21:27
40618;St.Oswald bei Freistadt       ;1.976;914;46,26;39;4,27;875;95,73;324;37,03;381;43,54;27;3,09;53;6,06;5;0,57;85;9,71;13.06.04;16:09:42;13.06.04;16:09:42
40619;Schönau im Mühlkreis          ;1.390;728;52,37;30;4,12;698;95,88;186;26,65;355;50,86;16;2,29;58;8,31;2;0,29;81;11,60;13.06.04;16:13:03;13.06.04;16:13:03
40620;Tragwein                      ;2.246;1.274;56,72;26;2,04;1.248;97,96;471;37,74;535;42,87;30;2,40;91;7,29;13;1,04;108;8,65;13.06.04;15:09:42;13.06.04;15:09:42
40621;Unterweißenbach               ;1.804;774;42,90;31;4,01;743;95,99;187;25,17;413;55,59;27;3,63;49;6,59;4;0,54;63;8,48;13.06.04;16:21:48;13.06.04;16:21:48
40622;Unterweitersdorf              ;1.332;709;53,23;11;1,55;698;98,45;299;42,84;210;30,09;15;2,15;83;11,89;3;0,43;88;12,61;13.06.04;16:36:14;13.06.04;16:36:14
40623;Waldburg                      ;1.045;509;48,71;23;4,52;486;95,48;140;28,81;236;48,56;17;3,50;41;8,44;3;0,62;49;10,08;13.06.04;14:57:47;13.06.04;14:57:47
40624;Wartberg ob der Aist          ;2.956;1.483;50,17;53;3,57;1.430;96,43;545;38,11;415;29,02;68;4,76;178;12,45;12;0,84;212;14,83;13.06.04;16:49:41;13.06.04;17:07:33
40625;Weitersfelden                 ;851;490;57,58;13;2,65;477;97,35;111;23,27;288;60,38;3;0,63;27;5,66;4;0,84;44;9,22;13.06.04;14:43:05;13.06.04;14:43:05
40626;Windhaag bei Freistadt        ;1.284;718;55,92;36;5,01;682;94,99;157;23,02;359;52,64;43;6,30;51;7,48;2;0,29;70;10,26;13.06.04;14:04:00;13.06.04;14:04:00
40627;Bad Zell                      ;2.049;1.003;48,95;59;5,88;944;94,12;226;23,94;429;45,44;34;3,60;132;13,98;6;0,64;117;12,39;13.06.04;13:57:56;13.06.04;13:57:56
40700;Bezirk Gmunden                       ;75.171;34.646;46,09;1.209;3,49;33.437;96,51;12.472;37,30;9.765;29,20;2.215;6,62;3.992;11,94;251;0,75;4.742;14,18;13.06.04;17:40:57;13.06.04;17:40:57
40701;Altmünster                    ;7.448;3.705;49,74;150;4,05;3.555;95,95;1.129;31,76;1.156;32,52;216;6,08;443;12,46;21;0,59;590;16,60;13.06.04;17:23:38;13.06.04;17:23:38
40702;Bad Goisern                   ;5.789;2.257;38,99;74;3,28;2.183;96,72;1.048;48,01;368;16,86;192;8,80;244;11,18;20;0,92;311;14,25;13.06.04;15:20:09;13.06.04;15:20:09
40703;Bad Ischl                     ;10.641;4.594;43,17;135;2,94;4.459;97,06;1.450;32,52;1.309;29,36;347;7,78;708;15,88;56;1,26;589;13,21;13.06.04;16:24:50;13.06.04;16:24:50
40704;Ebensee                       ;6.539;2.910;44,50;118;4,05;2.792;95,95;1.295;46,38;654;23,42;95;3,40;309;11,07;34;1,22;405;14,51;13.06.04;17:40:57;13.06.04;17:40:57
40705;Gmunden                       ;9.939;4.641;46,69;150;3,23;4.491;96,77;1.283;28,57;1.437;32,00;364;8,11;722;16,08;42;0,94;643;14,32;13.06.04;16:58:42;13.06.04;16:58:42
40706;Gosau                         ;1.492;723;48,46;16;2,21;707;97,79;360;50,92;169;23,90;33;4,67;44;6,22;1;0,14;100;14,14;13.06.04;16:02:31;13.06.04;16:02:31
40707;Grünau im Almtal              ;1.623;921;56,75;22;2,39;899;97,61;323;35,93;296;32,93;84;9,34;87;9,68;4;0,44;105;11,68;13.06.04;16:25:36;13.06.04;16:25:36
40708;Gschwandt                     ;1.846;876;47,45;25;2,85;851;97,15;271;31,84;320;37,60;67;7,87;82;9,64;5;0,59;106;12,46;13.06.04;16:12:33;13.06.04;16:12:33
40709;Hallstatt                     ;761;462;60,71;21;4,55;441;95,45;203;46,03;86;19,50;22;4,99;53;12,02;7;1,59;70;15,87;13.06.04;16:25:51;13.06.04;16:25:51
40710;Kirchham                      ;1.431;650;45,42;27;4,15;623;95,85;111;17,82;312;50,08;50;8,03;60;9,63;1;0,16;89;14,29;13.06.04;16:26:12;13.06.04;16:26:12
40711;Laakirchen                    ;6.481;3.054;47,12;113;3,70;2.941;96,30;1.488;50,60;647;22,00;134;4,56;241;8,19;11;0,37;420;14,28;13.06.04;16:02:50;13.06.04;16:02:50
40712;Obertraun                     ;590;339;57,46;7;2,06;332;97,94;181;54,52;62;18,67;7;2,11;31;9,34;5;1,51;46;13,86;13.06.04;16:12:54;13.06.04;16:12:54
40713;Ohlsdorf                      ;3.466;1.657;47,81;56;3,38;1.601;96,62;617;38,54;474;29,61;98;6,12;185;11,56;7;0,44;220;13,74;13.06.04;16:13:12;13.06.04;16:13:12
40714;Pinsdorf                      ;2.673;1.264;47,29;48;3,80;1.216;96,20;528;43,42;286;23,52;67;5,51;123;10,12;15;1,23;197;16,20;13.06.04;15:49:31;13.06.04;15:49:31
40715;Roitham                       ;1.507;674;44,72;24;3,56;650;96,44;218;33,54;226;34,77;60;9,23;45;6,92;3;0,46;98;15,08;13.06.04;15:24:42;13.06.04;15:24:42
40716;St.Konrad                     ;800;356;44,50;12;3,37;344;96,63;106;30,81;163;47,38;21;6,10;20;5,81;1;0,29;33;9,59;13.06.04;13:26:52;13.06.04;13:26:52
40717;St.Wolfgang im Salzkammergut  ;2.060;874;42,43;17;1,95;857;98,05;247;28,82;334;38,97;53;6,18;105;12,25;1;0,12;117;13,65;13.06.04;16:00:04;13.06.04;16:00:04
40718;Traunkirchen                  ;1.349;775;57,45;33;4,26;742;95,74;218;29,38;295;39,76;27;3,64;87;11,73;4;0,54;111;14,96;13.06.04;15:25:10;13.06.04;15:25:10
40719;Scharnstein                   ;3.488;1.611;46,19;60;3,72;1.551;96,28;626;40,36;432;27,85;146;9,41;149;9,61;7;0,45;191;12,31;13.06.04;16:13:29;13.06.04;16:13:29
40720;Vorchdorf                     ;5.248;2.303;43,88;101;4,39;2.202;95,61;770;34,97;739;33,56;132;5,99;254;11,53;6;0,27;301;13,67;13.06.04;16:03:10;13.06.04;16:03:10
40800;Bezirk Grieskirchen                  ;46.835;21.517;45,94;822;3,82;20.695;96,18;5.394;26,06;9.032;43,64;1.752;8,47;1.933;9,34;83;0,40;2.501;12,09;13.06.04;16:33:05;13.06.04;16:33:05
40801;Aistersheim                   ;584;238;40,75;7;2,94;231;97,06;49;21,21;117;50,65;25;10,82;10;4,33;1;0,43;29;12,55;13.06.04;12:42:42;13.06.04;12:42:53
40802;Bad Schallerbach              ;2.666;1.470;55,14;47;3,20;1.423;96,80;458;32,19;515;36,19;99;6,96;138;9,70;11;0,77;202;14,20;13.06.04;15:54:55;13.06.04;15:54:55
40803;Bruck-Waasen                  ;1.731;780;45,06;33;4,23;747;95,77;153;20,48;425;56,89;34;4,55;61;8,17;1;0,13;73;9,77;13.06.04;15:07:34;13.06.04;15:07:34
40804;Eschenau im Hausruckkreis     ;861;407;47,27;30;7,37;377;92,63;45;11,94;228;60,48;33;8,75;29;7,69;1;0,27;41;10,88;13.06.04;13:44:38;13.06.04;13:44:38
40805;Gallspach                     ;1.851;828;44,73;29;3,50;799;96,50;253;31,66;274;34,29;70;8,76;80;10,01;7;0,88;115;14,39;13.06.04;15:48:08;13.06.04;15:48:08
