 Europaparlamentswahl  1999 - Stimmen;;;;;;;;;;;;;;;;;;;;;;;;;;
Nr.;Name;Wahlbe-;abgegeb.;Wahlbet.;ungültige;;gültige;;ÖVP;;SPÖ;;FPÖ;;GRÜNE;;LIF;;CSA;;KPÖ;;erste Eingabe;;letzte Eingabe;
;;rechtigte;Stimmen;in %;Stimmen;in %;Stimmen;in %;Stimmen;Ant. %;Stimmen;Ant. %;Stimmen;Ant. %;Stimmen;Ant. %;Stimmen;Ant. %;Stimmen;Ant. %;Stimmen;Ant. %;Datum;Zeit;Datum;Zeit
41203;Aurolzmünster                 ;2 058;959;46,60;22;2,29;937;97,71;220;23,48;246;26,25;387;41,30;59;6,30;9;0,96;9;0,96;7;0,75;13.06.1999;23:04:41;13.06.1999;23:04:41
41204;Eberschwang                   ;2 464;1 371;55,64;63;4,60;1 308;95,40;327;25,00;447;34,17;423;32,34;74;5,66;20;1,53;13;0,99;4;0,31;13.06.1999;22:59:33;13.06.1999;22:59:33
41205;Eitzing                       ;518;323;62,36;22;6,81;301;93,19;133;44,19;61;20,27;93;30,90;9;2,99;1;0,33;2;0,66;2;0,66;13.06.1999;22:36:18;13.06.1999;22:36:18
41206;Geiersberg                    ;390;240;61,54;9;3,75;231;96,25;100;43,29;45;19,48;62;26,84;12;5,19;2;0,87;8;3,46;2;0,87;13.06.1999;22:43:13;13.06.1999;22:43:13
41207;Geinberg                      ;938;566;60,34;19;3,36;547;96,64;179;32,72;117;21,39;206;37,66;35;6,40;5;0,91;5;0,91;0;0,00;13.06.1999;22:53:00;13.06.1999;22:53:00
41208;Gurten                        ;873;530;60,71;20;3,77;510;96,23;200;39,22;93;18,24;167;32,75;34;6,67;2;0,39;13;2,55;1;0,20;13.06.1999;23:07:31;13.06.1999;23:07:31
41209;Hohenzell                     ;1 453;753;51,82;37;4,91;716;95,09;309;43,16;112;15,64;199;27,79;54;7,54;18;2,51;23;3,21;1;0,14;13.06.1999;23:06:07;13.06.1999;23:06:07
41210;Kirchdorf am Inn              ;468;315;67,31;10;3,17;305;96,83;159;52,13;48;15,74;81;26,56;8;2,62;5;1,64;3;0,98;1;0,33;13.06.1999;23:02:27;13.06.1999;23:02:27
41211;Kirchheim im Innkreis         ;488;320;65,57;13;4,06;307;95,94;146;47,56;50;16,29;89;28,99;14;4,56;6;1,95;2;0,65;0;0,00;13.06.1999;22:48:22;13.06.1999;22:48:22
41212;Lambrechten                   ;957;605;63,22;14;2,31;591;97,69;254;42,98;72;12,18;222;37,56;31;5,25;6;1,02;5;0,85;1;0,17;13.06.1999;22:55:23;13.06.1999;22:55:23
41213;Lohnsburg am Kobernaußerwald  ;1 728;925;53,53;25;2,70;900;97,30;347;38,56;151;16,78;319;35,44;56;6,22;7;0,78;14;1,56;6;0,67;13.06.1999;22:52:27;13.06.1999;22:52:27
41214;Mehrnbach                     ;1 721;876;50,90;36;4,11;840;95,89;313;37,26;152;18,10;307;36,55;43;5,12;13;1,55;10;1,19;2;0,24;13.06.1999;23:27:01;13.06.1999;23:27:01
41215;Mettmach                      ;1 895;1 004;52,98;43;4,28;961;95,72;317;32,99;207;21,54;349;36,32;61;6,35;10;1,04;11;1,14;6;0,62;13.06.1999;23:05:25;13.06.1999;23:05:25
41216;Mörschwang                    ;220;139;63,18;8;5,76;131;94,24;90;68,70;6;4,58;25;19,08;7;5,34;0;0,00;3;2,29;0;0,00;13.06.1999;22:28:40;13.06.1999;22:28:40
41217;Mühlheim am Inn               ;510;335;65,69;16;4,78;319;95,22;80;25,08;93;29,15;117;36,68;21;6,58;2;0,63;1;0,31;5;1,57;13.06.1999;23:01:51;13.06.1999;23:01:51
41218;Neuhofen im Innkreis          ;1 474;887;60,18;38;4,28;849;95,72;288;33,92;219;25,80;219;25,80;91;10,72;19;2,24;11;1,30;2;0,24;13.06.1999;23:06:53;13.06.1999;23:06:53
