 Europaparlamentswahl  1999 - Stimmen;;;;;;;;;;;;;;;;;;;;;;;;;;
Nr.;Name;Wahlbe-;abgegeb.;Wahlbet.;ungültige;;gültige;;ÖVP;;SPÖ;;FPÖ;;GRÜNE;;LIF;;CSA;;KPÖ;;erste Eingabe;;letzte Eingabe;
;;rechtigte;Stimmen;in %;Stimmen;in %;Stimmen;in %;Stimmen;Ant. %;Stimmen;Ant. %;Stimmen;Ant. %;Stimmen;Ant. %;Stimmen;Ant. %;Stimmen;Ant. %;Stimmen;Ant. %;Datum;Zeit;Datum;Zeit
41329;Neustift im Mühlkreis         ;1 045;572;54,74;21;3,67;551;96,33;350;63,52;110;19,96;61;11,07;19;3,45;4;0,73;5;0,91;2;0,36;13.06.1999;23:49:25;13.06.1999;23:49:25
41330;Rohrbach in Oberösterreich    ;1 698;1 090;64,19;47;4,31;1 043;95,69;462;44,30;230;22,05;178;17,07;108;10,35;24;2,30;36;3,45;5;0,48;13.06.1999;23:12:07;13.06.1999;23:12:07
41331;St.Johann am Wimberg          ;735;465;63,27;12;2,58;453;97,42;267;58,94;73;16,11;80;17,66;26;5,74;4;0,88;3;0,66;0;0,00;13.06.1999;22:45:08;13.06.1999;22:45:08
41332;St.Martin im Mühlkreis        ;2 404;1 355;56,36;39;2,88;1 316;97,12;616;46,81;308;23,40;262;19,91;101;7,67;11;0,84;13;0,99;5;0,38;13.06.1999;22:43:29;13.06.1999;22:43:29
41333;St.Oswald bei Haslach         ;402;283;70,40;21;7,42;262;92,58;149;56,87;63;24,05;35;13,36;13;4,96;2;0,76;0;0,00;0;0,00;13.06.1999;22:35:26;13.06.1999;22:35:26
41334;St.Peter am Wimberg           ;1 261;811;64,31;34;4,19;777;95,81;521;67,05;91;11,71;113;14,54;33;4,25;8;1,03;10;1,29;1;0,13;13.06.1999;23:12:57;13.06.1999;23:12:57
41335;St.Stefan am Walde            ;627;397;63,32;18;4,53;379;95,47;189;49,87;88;23,22;64;16,89;33;8,71;1;0,26;3;0,79;1;0,26;13.06.1999;22:29:25;13.06.1999;22:29:25
41336;St.Ulrich im Mühlkreis        ;431;322;74,71;13;4,04;309;95,96;212;68,61;36;11,65;41;13,27;17;5,50;0;0,00;2;0,65;1;0,32;13.06.1999;22:28:39;13.06.1999;22:28:39
41337;St.Veit im Mühlkreis          ;840;513;61,07;12;2,34;501;97,66;261;52,10;105;20,96;106;21,16;19;3,79;3;0,60;7;1,40;0;0,00;13.06.1999;22:32:26;13.06.1999;22:32:26
41338;Sarleinsbach                  ;1 620;1 160;71,60;47;4,05;1 113;95,95;752;67,57;101;9,07;185;16,62;54;4,85;2;0,18;17;1,53;2;0,18;13.06.1999;22:50:53;13.06.1999;22:50:53
41339;Schlägl                       ;1 028;604;58,75;30;4,97;574;95,03;273;47,56;144;25,09;122;21,25;20;3,48;5;0,87;9;1,57;1;0,17;13.06.1999;22:33:59;13.06.1999;22:33:59
41340;Schönegg                      ;390;289;74,10;9;3,11;280;96,89;135;48,21;71;25,36;59;21,07;10;3,57;2;0,71;1;0,36;2;0,71;13.06.1999;22:52:19;13.06.1999;22:52:19
41341;Schwarzenberg am Böhmerwald   ;515;329;63,88;10;3,04;319;96,96;198;62,07;55;17,24;55;17,24;8;2,51;3;0,94;0;0,00;0;0,00;13.06.1999;22:31:44;13.06.1999;22:31:44
41342;Ulrichsberg                   ;2 266;1 409;62,18;48;3,41;1 361;96,59;632;46,44;313;23,00;288;21,16;96;7,05;13;0,96;12;0,88;7;0,51;13.06.1999;22:56:24;13.06.1999;22:56:24
41400;Bezirk Schärding                     ;41 387;23 044;55,68;841;3,65;22 203;96,35;9 078;40,89;4 741;21,35;6 566;29,57;1 235;5,56;247;1,11;258;1,16;78;0,35;13.06.1999;23:36:59;14.06.1999;14:19:28
41401;Altschwendt                   ;510;310;60,78;14;4,52;296;95,48;138;46,62;41;13,85;87;29,39;20;6,76;4;1,35;3;1,01;3;1,01;13.06.1999;22:55:06;13.06.1999;22:55:06
41402;Andorf                        ;3 597;1 942;53,99;58;2,99;1 884;97,01;611;32,43;525;27,87;607;32,22;91;4,83;25;1,33;18;0,96;7;0,37;13.06.1999;23:35:04;13.06.1999;23:35:04
41403;Brunnenthal                   ;1 350;710;52,59;21;2,96;689;97,04;244;35,41;125;18,14;223;32,37;62;9,00;13;1,89;17;2,47;5;0,73;13.06.1999;22:52:52;13.06.1999;22:52:52
41404;Diersbach                     ;1 236;549;44,42;26;4,74;523;95,26;231;44,17;83;15,87;166;31,74;34;6,50;1;0,19;7;1,34;1;0,19;13.06.1999;23:33:14;13.06.1999;23:33:14
41405;Dorf an der Pram              ;727;455;62,59;13;2,86;442;97,14;232;52,49;94;21,27;95;21,49;16;3,62;4;0,90;1;0,23;0;0,00;13.06.1999;22:13:13;13.06.1999;22:16:20
41406;Eggerding                     ;939;510;54,31;26;5,10;484;94,90;201;41,53;90;18,60;154;31,82;24;4,96;5;1,03;6;1,24;4;0,83;13.06.1999;23:11:23;13.06.1999;23:11:23
41407;Engelhartszell                ;846;595;70,33;30;5,04;565;94,96;297;52,57;96;16,99;114;20,18;33;5,84;12;2,12;11;1,95;2;0,35;13.06.1999;23:36:59;13.06.1999;23:36:59
41408;Enzenkirchen                  ;1 263;688;54,47;30;4,36;658;95,64;233;35,41;171;25,99;227;34,50;21;3,19;4;0,61;2;0,30;0;0,00;13.06.1999;22:56:03;14.06.1999;14:19:28
41409;Esternberg                    ;2 004;1 008;50,30;27;2,68;981;97,32;472;48,11;127;12,95;314;32,01;54;5,50;9;0,92;3;0,31;2;0,20;13.06.1999;23:36:30;13.06.1999;23:36:30
41410;Freinberg                     ;1 001;481;48,05;11;2,29;470;97,71;209;44,47;135;28,72;102;21,70;15;3,19;6;1,28;2;0,43;1;0,21;13.06.1999;22:37:16;13.06.1999;22:37:16
41411;Kopfing im Innkreis           ;1 536;883;57,49;53;6,00;830;94,00;327;39,40;155;18,67;285;34,34;41;4,94;12;1,45;7;0,84;3;0,36;13.06.1999;23:10:16;13.06.1999;23:10:16
41412;Mayrhof                       ;183;146;79,78;9;6,16;137;93,84;85;62,04;13;9,49;34;24,82;3;2,19;0;0,00;2;1,46;0;0,00;13.06.1999;22:55:31;13.06.1999;22:55:31
41413;Münzkirchen                   ;1 871;1 078;57,62;34;3,15;1 044;96,85;471;45,11;181;17,34;312;29,89;52;4,98;13;1,25;11;1,05;4;0,38;13.06.1999;23:10:54;13.06.1999;23:10:54
41414;Raab                          ;1 651;908;55,00;30;3,30;878;96,70;321;36,56;104;11,85;349;39,75;70;7,97;13;1,48;15;1,71;6;0,68;13.06.1999;22:56:36;13.06.1999;22:56:36
41415;Rainbach im Innkreis          ;1 105;653;59,10;24;3,68;629;96,32;285;45,31;141;22,42;157;24,96;28;4,45;1;0,16;14;2,23;3;0,48;13.06.1999;23:33:42;13.06.1999;23:33:42
41416;Riedau                        ;1 432;752;52,51;22;2,93;730;97,07;212;29,04;195;26,71;245;33,56;61;8,36;6;0,82;9;1,23;2;0,27;13.06.1999;23:12:15;13.06.1999;23:12:15
41417;St.Aegidi                     ;1 214;830;68,37;31;3,73;799;96,27;451;56,45;104;13,02;197;24,66;29;3,63;3;0,38;15;1,88;0;0,00;13.06.1999;23:35:33;13.06.1999;23:35:33
41418;St.Florian am Inn             ;2 191;1 142;52,12;52;4,55;1 090;95,45;340;31,19;365;33,49;310;28,44;54;4,95;7;0,64;10;0,92;4;0,37;13.06.1999;22:54:09;13.06.1999;22:54:09
41419;St.Marienkirchen bei Schärding;1 331;743;55,82;15;2,02;728;97,98;261;35,85;110;15,11;292;40,11;41;5,63;15;2,06;8;1,10;1;0,14;13.06.1999;22:53:36;13.06.1999;22:53:36
41420;St.Roman                      ;1 267;703;55,49;27;3,84;676;96,16;372;55,03;58;8,58;204;30,18;29;4,29;4;0,59;6;0,89;3;0,44;13.06.1999;23:34:33;13.06.1999;23:34:33
41421;St.Willibald                  ;840;484;57,62;22;4,55;462;95,45;182;39,39;88;19,05;164;35,50;16;3,46;6;1,30;4;0,87;2;0,43;13.06.1999;22:57:06;13.06.1999;22:57:06
41422;Schärding                     ;4 077;2 112;51,80;56;2,65;2 056;97,35;550;26,75;677;32,93;607;29,52;167;8,12;30;1,46;18;0,88;7;0,34;13.06.1999;23:32:34;13.06.1999;23:32:34
41423;Schardenberg                  ;1 649;935;56,70;43;4,60;892;95,40;474;53,14;123;13,79;224;25,11;38;4,26;10;1,12;22;2,47;1;0,11;13.06.1999;23:32:00;13.06.1999;23:32:00
41424;Sigharting                    ;541;366;67,65;9;2,46;357;97,54;147;41,18;58;16,25;124;34,73;16;4,48;6;1,68;5;1,40;1;0,28;13.06.1999;22:37:52;13.06.1999;22:37:52
41425;Suben                         ;813;435;53,51;10;2,30;425;97,70;187;44,00;86;20,24;97;22,82;46;10,82;3;0,71;5;1,18;1;0,24;13.06.1999;23:34:07;13.06.1999;23:34:07
41426;Taufkirchen an der Pram       ;2 117;1 096;51,77;34;3,10;1 062;96,90;383;36,06;300;28,25;305;28,72;56;5,27;5;0,47;8;0,75;5;0,47;13.06.1999;23:13:23;13.06.1999;23:13:23
41427;Vichtenstein                  ;482;318;65,98;16;5,03;302;94,97;165;54,64;55;18,21;71;23,51;8;2,65;1;0,33;1;0,33;1;0,33;13.06.1999;22:54:39;13.06.1999;22:54:39
41428;Waldkirchen am Wesen          ;970;711;73,30;40;5,63;671;94,37;337;50,22;154;22,95;151;22,50;20;2,98;6;0,89;3;0,45;0;0,00;13.06.1999;23:36:02;13.06.1999;23:36:02
41429;Wernstein am Inn              ;1 184;710;59,97;28;3,94;682;96,06;295;43,26;187;27,42;144;21,11;29;4,25;10;1,47;10;1,47;7;1,03;13.06.1999;23:09:47;13.06.1999;23:09:47
41430;Zell an der Pram              ;1 460;791;54,18;30;3,79;761;96,21;365;47,96;100;13,14;205;26,94;61;8,02;13;1,71;15;1,97;2;0,26;13.06.1999;23:12:48;13.06.1999;23:12:48
41500;Bezirk Steyr-Land                    ;42 145;25 723;61,03;989;3,84;24 734;96,16;8 616;34,83;7 838;31,69;5 575;22,54;1 951;7,89;355;1,44;315;1,27;84;0,34;13.06.1999;23:46:45;13.06.1999;23:46:45
41501;Adlwang                       ;1 068;669;62,64;32;4,78;637;95,22;283;44,43;120;18,84;177;27,79;42;6,59;7;1,10;7;1,10;1;0,16;13.06.1999;22:52:08;13.06.1999;22:52:08
41502;Aschach an der Steyr          ;1 478;871;58,93;27;3,10;844;96,90;363;43,01;184;21,80;180;21,33;94;11,14;16;1,90;7;0,83;0;0,00;13.06.1999;22:54:49;13.06.1999;22:54:49
41503;Bad Hall                      ;3 511;2 108;60,04;61;2,89;2 047;97,11;635;31,02;639;31,22;560;27,36;142;6,94;34;1,66;27;1,32;10;0,49;13.06.1999;23:07:25;13.06.1999;23:07:25
41504;Dietach                       ;1 695;1 095;64,60;46;4,20;1 049;95,80;407;38,80;284;27,07;229;21,83;87;8,29;23;2,19;18;1,72;1;0,10;13.06.1999;22:58:39;13.06.1999;22:58:39
41505;Gaflenz                       ;1 313;814;62,00;31;3,81;783;96,19;346;44,19;206;26,31;162;20,69;49;6,26;9;1,15;10;1,28;1;0,13;13.06.1999;22:35:26;13.06.1999;22:35:26
41506;Garsten                       ;4 491;2 746;61,14;118;4,30;2 628;95,70;890;33,87;745;28,35;574;21,84;310;11,80;57;2,17;39;1,48;13;0,49;13.06.1999;23:08:36;13.06.1999;23:08:36
41507;Großraming                    ;2 133;1 451;68,03;59;4,07;1 392;95,93;485;34,84;497;35,70;276;19,83;110;7,90;9;0,65;11;0,79;4;0,29;13.06.1999;22:46:28;13.06.1999;22:46:28
41508;Laussa                        ;936;611;65,28;22;3,60;589;96,40;242;41,09;138;23,43;148;25,13;40;6,79;13;2,21;4;0,68;4;0,68;13.06.1999;23:06:19;13.06.1999;23:06:19
41509;Losenstein                    ;1 347;841;62,44;28;3,33;813;96,67;291;35,79;281;34,56;161;19,80;57;7,01;7;0,86;12;1,48;4;0,49;13.06.1999;22:57:27;13.06.1999;22:57:27
41510;Maria Neustift                ;1 164;691;59,36;33;4,78;658;95,22;368;55,93;110;16,72;126;19,15;43;6,53;4;0,61;7;1,06;0;0,00;13.06.1999;23:10:18;13.06.1999;23:10:18
41511;Pfarrkirchen bei Bad Hall     ;1 541;875;56,78;57;6,51;818;93,49;271;33,13;239;29,22;215;26,28;59;7,21;17;2,08;12;1,47;5;0,61;13.06.1999;23:16:00;13.06.1999;23:16:00
41512;Reichraming                   ;1 447;933;64,48;19;2,04;914;97,96;155;16,96;503;55,03;173;18,93;65;7,11;8;0,88;7;0,77;3;0,33;13.06.1999;23:14:40;13.06.1999;23:14:40
41513;Rohr im Kremstal              ;802;466;58,10;22;4,72;444;95,28;184;41,44;114;25,68;106;23,87;26;5,86;9;2,03;4;0,90;1;0,23;13.06.1999;23:03:13;13.06.1999;23:03:13
41514;St.Ulrich bei Steyr           ;2 232;1 403;62,86;56;3,99;1 347;96,01;556;41,28;334;24,80;291;21,60;121;8,98;28;2,08;16;1,19;1;0,07;13.06.1999;23:35:14;13.06.1999;23:35:14
41515;Schiedlberg                   ;939;578;61,55;23;3,98;555;96,02;314;56,58;94;16,94;112;20,18;29;5,23;2;0,36;4;0,72;0;0,00;13.06.1999;22:53:38;13.06.1999;22:53:38
41516;Sierning                      ;6 288;3 655;58,13;134;3,67;3 521;96,33;887;25,19;1 488;42,26;809;22,98;237;6,73;48;1,36;36;1,02;16;0,45;13.06.1999;23:01:45;13.06.1999;23:01:45
41517;Ternberg                      ;2 463;1 456;59,11;51;3,50;1 405;96,50;477;33,95;428;30,46;344;24,48;117;8,33;15;1,07;19;1,35;5;0,36;13.06.1999;23:46:45;13.06.1999;23:46:45
41518;Waldneukirchen                ;1 598;954;59,70;36;3,77;918;96,23;355;38,67;206;22,44;252;27,45;65;7,08;10;1,09;26;2,83;4;0,44;13.06.1999;22:50:38;13.06.1999;22:50:38
41519;Weyer-Land                    ;1 791;1 108;61,86;37;3,34;1 071;96,66;332;31,00;489;45,66;151;14,10;66;6,16;9;0,84;20;1,87;4;0,37;13.06.1999;23:11:29;13.06.1999;23:11:29
41520;Weyer-Markt                   ;1 847;1 069;57,88;36;3,37;1 033;96,63;280;27,11;385;37,27;235;22,75;108;10,45;11;1,06;9;0,87;5;0,48;13.06.1999;23:29:39;13.06.1999;23:29:39
41521;Wolfern                       ;2 061;1 329;64,48;61;4,59;1 268;95,41;495;39,04;354;27,92;294;23,19;84;6,62;19;1,50;20;1,58;2;0,16;13.06.1999;22:49:07;13.06.1999;22:49:07
41600;Bezirk Urfahr-Umgebung               ;56 002;33 852;60,45;1 255;3,71;32 597;96,29;13 048;40,03;8 112;24,89;6 591;20,22;3 505;10,75;700;2,15;467;1,43;174;0,53;13.06.1999;23:58:16;13.06.1999;23:58:16
41601;Alberndorf in der Riedmark    ;2 532;1 593;62,91;86;5,40;1 507;94,60;683;45,32;348;23,09;289;19,18;139;9,22;17;1,13;24;1,59;7;0,46;13.06.1999;22:55:07;13.06.1999;22:55:07
41602;Altenberg bei Linz            ;2 894;1 829;63,20;77;4,21;1 752;95,79;812;46,35;342;19,52;323;18,44;187;10,67;42;2,40;42;2,40;4;0,23;13.06.1999;23:00:14;13.06.1999;23:00:14
41603;Bad Leonfelden                ;2 656;1 746;65,74;102;5,84;1 644;94,16;872;53,04;296;18,00;285;17,34;131;7,97;26;1,58;25;1,52;9;0,55;13.06.1999;23:10:25;13.06.1999;23:10:25
41604;Eidenberg                     ;1 271;829;65,22;31;3,74;798;96,26;451;56,52;132;16,54;142;17,79;52;6,52;7;0,88;12;1,50;2;0,25;13.06.1999;23:11:00;13.06.1999;23:11:00
41605;Engerwitzdorf                 ;5 356;3 009;56,18;144;4,79;2 865;95,21;865;30,19;811;28,31;708;24,71;359;12,53;74;2,58;37;1,29;11;0,38;13.06.1999;23:17:12;13.06.1999;23:17:12
41606;Feldkirchen an der Donau      ;3 646;2 146;58,86;68;3,17;2 078;96,83;744;35,80;584;28,10;519;24,98;164;7,89;32;1,54;27;1,30;8;0,38;13.06.1999;23:40:06;13.06.1999;23:40:06
41607;Gallneukirchen                ;4 170;2 318;55,59;88;3,80;2 230;96,20;692;31,03;647;29,01;393;17,62;386;17,31;56;2,51;32;1,43;24;1,08;13.06.1999;23:01:01;13.06.1999;23:01:01
41608;Goldwörth                     ;606;372;61,39;14;3,76;358;96,24;160;44,69;86;24,02;71;19,83;31;8,66;2;0,56;8;2,23;0;0,00;13.06.1999;22:42:07;13.06.1999;22:42:07
41609;Gramastetten                  ;3 342;2 047;61,25;60;2,93;1 987;97,07;935;47,06;394;19,83;344;17,31;210;10,57;62;3,12;33;1,66;9;0,45;13.06.1999;22:55:49;13.06.1999;22:55:49
41610;Haibach im Mühlkreis          ;557;361;64,81;23;6,37;338;93,63;168;49,70;77;22,78;56;16,57;26;7,69;1;0,30;10;2,96;0;0,00;13.06.1999;22:46:13;13.06.1999;22:46:13
41611;Hellmonsödt                   ;1 503;933;62,08;33;3,54;900;96,46;317;35,22;229;25,44;201;22,33;102;11,33;20;2,22;22;2,44;9;1,00;13.06.1999;23:13:27;13.06.1999;23:13:27
41612;Herzogsdorf                   ;1 673;1 031;61,63;33;3,20;998;96,80;552;55,31;170;17,03;208;20,84;46;4,61;9;0,90;9;0,90;4;0,40;13.06.1999;23:58:16;13.06.1999;23:58:16
41613;Kirchschlag bei Linz          ;1 384;782;56,50;27;3,45;755;96,55;312;41,32;169;22,38;150;19,87;89;11,79;23;3,05;9;1,19;3;0,40;13.06.1999;23:14:00;13.06.1999;23:14:00
41614;Lichtenberg                   ;1 794;1 179;65,72;34;2,88;1 145;97,12;454;39,65;288;25,15;207;18,08;154;13,45;25;2,18;11;0,96;6;0,52;13.06.1999;23:11:39;13.06.1999;23:11:39
41615;Oberneukirchen                ;2 186;1 415;64,73;55;3,89;1 360;96,11;595;43,75;277;20,37;318;23,38;125;9,19;20;1,47;20;1,47;5;0,37;13.06.1999;23:40:39;13.06.1999;23:40:39
41616;Ottenschlag im Mühlkreis      ;366;256;69,95;13;5,08;243;94,92;109;44,86;74;30,45;40;16,46;13;5,35;1;0,41;5;2,06;1;0,41;13.06.1999;22:34:14;13.06.1999;22:34:14
41617;Ottensheim                    ;3 088;1 770;57,32;30;1,69;1 740;98,31;591;33,97;482;27,70;333;19,14;259;14,89;45;2,59;21;1,21;9;0,52;13.06.1999;23:25:42;13.06.1999;23:25:42
41618;Puchenau                      ;3 601;1 920;53,32;46;2,40;1 874;97,60;527;28,12;491;26,20;415;22,15;323;17,24;77;4,11;22;1,17;19;1,01;13.06.1999;23:33:13;13.06.1999;23:33:13
41619;Reichenau im Mühlkreis        ;759;476;62,71;11;2,31;465;97,69;183;39,35;117;25,16;101;21,72;47;10,11;8;1,72;9;1,94;0;0,00;13.06.1999;22:21:13;13.06.1999;22:21:13
41620;Reichenthal                   ;991;647;65,29;31;4,79;616;95,21;325;52,76;133;21,59;95;15,42;33;5,36;16;2,60;10;1,62;4;0,65;13.06.1999;22:56:22;13.06.1999;22:56:22
41621;St.Gotthard im Mühlkreis      ;979;622;63,53;26;4,18;596;95,82;237;39,77;167;28,02;126;21,14;54;9,06;9;1,51;3;0,50;0;0,00;13.06.1999;23:15:12;13.06.1999;23:15:12
41622;Schenkenfelden                ;1 045;607;58,09;21;3,46;586;96,54;313;53,41;108;18,43;117;19,97;40;6,83;2;0,34;6;1,02;0;0,00;13.06.1999;23:14:34;13.06.1999;23:14:34
41623;Sonnberg im Mühlkreis         ;555;373;67,21;21;5,63;352;94,37;169;48,01;76;21,59;69;19,60;29;8,24;2;0,57;6;1,70;1;0,28;13.06.1999;23:01:34;13.06.1999;23:01:34
41624;Steyregg                      ;3 561;2 156;60,54;84;3,90;2 072;96,10;524;25,29;728;35,14;502;24,23;230;11,10;56;2,70;16;0,77;16;0,77;13.06.1999;23:26:28;13.06.1999;23:26:28
41625;Vorderweißenbach              ;1 530;993;64,90;29;2,92;964;97,08;566;58,71;155;16,08;155;16,08;39;4,05;14;1,45;30;3,11;5;0,52;13.06.1999;23:15:48;13.06.1999;23:15:48
41626;Walding                       ;2 697;1 617;59,96;45;2,78;1 572;97,22;492;31,30;579;36,83;276;17,56;168;10,69;36;2,29;13;0,83;8;0,51;13.06.1999;22:57:02;13.06.1999;22:57:02
41627;Zwettl an der Rodl            ;1 260;825;65,48;23;2,79;802;97,21;400;49,88;152;18,95;148;18,45;69;8,60;18;2,24;5;0,62;10;1,25;13.06.1999;23:16:29;13.06.1999;23:16:29
41700;Bezirk Vöcklabruck                   ;90 197;49 128;54,47;2 094;4,26;47 034;95,74;15 119;32,14;13 859;29,47;12 066;25,65;4 152;8,83;913;1,94;645;1,37;280;0,60;13.06.1999;23:55:18;13.06.1999;23:55:18
41701;Ampflwang im Hausruckwald     ;2 770;1 629;58,81;72;4,42;1 557;95,58;270;17,34;794;51,00;364;23,38;95;6,10;18;1,16;7;0,45;9;0,58;13.06.1999;23:04:36;13.06.1999;23:04:36
41702;Attersee                      ;1 118;660;59,03;14;2,12;646;97,88;242;37,46;175;27,09;143;22,14;53;8,20;28;4,33;4;0,62;1;0,15;13.06.1999;23:03:15;13.06.1999;23:03:15
41703;Attnang-Puchheim              ;6 109;2 888;47,27;73;2,53;2 815;97,47;559;19,86;1 087;38,61;703;24,97;333;11,83;54;1,92;40;1,42;39;1,39;13.06.1999;23:09:06;13.06.1999;23:09:06
41704;Atzbach                       ;806;587;72,83;20;3,41;567;96,59;266;46,91;55;9,70;189;33,33;41;7,23;3;0,53;8;1,41;5;0,88;13.06.1999;23:10:17;13.06.1999;23:10:17
41705;Aurach am Hongar              ;1 072;606;56,53;40;6,60;566;93,40;169;29,86;192;33,92;161;28,45;33;5,83;8;1,41;3;0,53;0;0,00;13.06.1999;22:50:54;13.06.1999;22:50:54
41706;Berg im Attergau              ;698;418;59,89;23;5,50;395;94,50;226;57,22;48;12,15;99;25,06;17;4,30;1;0,25;4;1,01;0;0,00;13.06.1999;23:18:53;13.06.1999;23:18:53
41707;Desselbrunn                   ;1 098;629;57,29;30;4,77;599;95,23;232;38,73;193;32,22;117;19,53;37;6,18;8;1,34;9;1,50;3;0,50;13.06.1999;23:18:17;13.06.1999;23:18:17
41708;Fornach                       ;568;323;56,87;18;5,57;305;94,43;161;52,79;45;14,75;76;24,92;13;4,26;2;0,66;8;2,62;0;0,00;13.06.1999;22:41:35;13.06.1999;22:41:35
41709;Frankenburg am Hausruck       ;3 676;1 930;52,50;125;6,48;1 805;93,52;511;28,31;684;37,89;440;24,38;109;6,04;29;1,61;15;0,83;17;0,94;13.06.1999;23:10:57;13.06.1999;23:10:57
41710;Frankenmarkt                  ;2 430;1 329;54,69;88;6,62;1 241;93,38;441;35,54;336;27,07;303;24,42;98;7,90;30;2,42;25;2,01;8;0,64;13.06.1999;23:09:41;13.06.1999;23:09:41
41711;Gampern                       ;1 729;866;50,09;58;6,70;808;93,30;319;39,48;181;22,40;182;22,52;92;11,39;15;1,86;12;1,49;7;0,87;13.06.1999;23:22:47;13.06.1999;23:22:47
41712;Innerschwand                  ;710;388;54,65;24;6,19;364;93,81;207;56,87;45;12,36;70;19,23;31;8,52;6;1,65;4;1,10;1;0,27;13.06.1999;22:45:30;13.06.1999;22:45:30
41713;Lenzing                       ;3 843;2 103;54,72;75;3,57;2 028;96,43;216;10,65;1 047;51,63;556;27,42;145;7,15;30;1,48;21;1,04;13;0,64;13.06.1999;23:05:14;13.06.1999;23:05:14
41714;Manning                       ;584;358;61,30;14;3,91;344;96,09;153;44,48;77;22,38;68;19,77;34;9,88;1;0,29;7;2,03;4;1,16;13.06.1999;23:19:24;13.06.1999;23:19:24
41715;Mondsee                       ;2 093;1 088;51,98;25;2,30;1 063;97,70;375;35,28;223;20,98;299;28,13;114;10,72;30;2,82;16;1,51;6;0,56;13.06.1999;23:32:07;13.06.1999;23:32:07
41716;Neukirchen an der Vöckla      ;1 815;986;54,33;47;4,77;939;95,23;336;35,78;264;28,12;214;22,79;84;8,95;14;1,49;24;2,56;3;0,32;13.06.1999;23:07:45;13.06.1999;23:07:45
41717;Niederthalheim                ;790;459;58,10;31;6,75;428;93,25;177;41,36;86;20,09;119;27,80;31;7,24;8;1,87;7;1,64;0;0,00;13.06.1999;23:11:37;13.06.1999;23:11:37
41718;Nußdorf am Attersee           ;765;547;71,50;11;2,01;536;97,99;213;39,74;92;17,16;159;29,66;46;8,58;16;2,99;8;1,49;2;0,37;13.06.1999;22:26:54;13.06.1999;22:26:54
41719;Oberhofen am Irrsee           ;928;531;57,22;18;3,39;513;96,61;204;39,77;130;25,34;127;24,76;32;6,24;12;2,34;6;1,17;2;0,39;13.06.1999;23:23:23;13.06.1999;23:23:23
41720;Oberndorf bei Schwanenstadt   ;978;580;59,30;16;2,76;564;97,24;147;26,06;137;24,29;193;34,22;60;10,64;15;2,66;7;1,24;5;0,89;13.06.1999;23:23:58;13.06.1999;23:23:58
41721;Oberwang                      ;1 076;611;56,78;39;6,38;572;93,62;390;68,18;57;9,97;102;17,83;13;2,27;8;1,40;1;0,17;1;0,17;13.06.1999;23:13:14;13.06.1999;23:13:14
41722;Ottnang am Hausruck           ;2 754;1 485;53,92;62;4,18;1 423;95,82;392;27,55;508;35,70;384;26,99;102;7,17;13;0,91;18;1,26;6;0,42;13.06.1999;23:55:18;13.06.1999;23:55:18
41723;Pfaffing                      ;972;509;52,37;21;4,13;488;95,87;173;35,45;149;30,53;119;24,39;22;4,51;11;2,25;12;2,46;2;0,41;13.06.1999;23:16:35;13.06.1999;23:16:35
41724;Pilsbach                      ;435;294;67,59;5;1,70;289;98,30;132;45,67;84;29,07;52;17,99;16;5,54;2;0,69;3;1,04;0;0,00;13.06.1999;22:35:39;13.06.1999;22:35:39
41725;Pitzenberg                    ;331;212;64,05;7;3,30;205;96,70;83;40,49;35;17,07;64;31,22;16;7,80;2;0,98;4;1,95;1;0,49;13.06.1999;22:52:11;13.06.1999;22:52:11
41726;Pöndorf                       ;1 622;734;45,25;64;8,72;670;91,28;277;41,34;181;27,01;156;23,28;34;5,07;10;1,49;10;1,49;2;0,30;13.06.1999;23:02:35;13.06.1999;23:02:35
41727;Puchkirchen am Trattberg      ;637;398;62,48;17;4,27;381;95,73;170;44,62;86;22,57;60;15,75;54;14,17;6;1,57;5;1,31;0;0,00;13.06.1999;22:53:43;13.06.1999;22:53:43
41728;Pühret                        ;422;246;58,29;12;4,88;234;95,12;105;44,87;47;20,09;53;22,65;23;9,83;0;0,00;5;2,14;1;0,43;13.06.1999;22:35:09;13.06.1999;22:35:09
41729;Redleiten                     ;319;197;61,76;10;5,08;187;94,92;63;33,69;61;32,62;49;26,20;5;2,67;0;0,00;4;2,14;5;2,67;13.06.1999;23:12:11;13.06.1999;23:12:11
41730;Redlham                       ;934;525;56,21;28;5,33;497;94,67;168;33,80;148;29,78;119;23,94;50;10,06;7;1,41;4;0,80;1;0,20;13.06.1999;23:17:47;13.06.1999;23:17:47
41731;Regau                         ;3 946;2 022;51,24;104;5,14;1 918;94,86;511;26,64;561;29,25;616;32,12;167;8,71;38;1,98;16;0,83;9;0,47;13.06.1999;23:08:28;13.06.1999;23:08:28
41732;Rüstorf                       ;1 424;789;55,41;35;4,44;754;95,56;218;28,91;227;30,11;226;29,97;57;7,56;10;1,33;13;1,72;3;0,40;13.06.1999;23:29:38;13.06.1999;23:29:38
41733;Rutzenham                     ;184;113;61,41;3;2,65;110;97,35;58;52,73;4;3,64;29;26,36;16;14,55;1;0,91;2;1,82;0;0,00;13.06.1999;22:20:17;13.06.1999;22:20:17
