Europawahl  7. Juni 2009;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Nr.;Name;Wahlbe-;abgegeb.;Wahlbet.;ungültige;;gültige;;SPÖ;;ÖVP;;MARTIN;;GRÜNE;;FPÖ;;KPÖ;;JuLis;;BZÖ;;erste Eingabe;;letzte Eingabe;
;;rechtigte;Stimmen;in %;Stimmen;in %;Stimmen;in %;Stimmen;Ant. %;Stimmen;Ant. %;Stimmen;Ant. %;Stimmen;Ant. %;Stimmen;Ant. %;Stimmen;Ant. %;Stimmen;Ant. %;Stimmen;Ant. %;Datum;Zeit;Datum;Zeit
40299;Wahlkarten Steyr                         ;0; 	947 ; 	0 ; 	10 ; 	1,06 ; 	937 ; 	98,94 ; 	286 ; 	30,52 ; 	235 ; 	25,08 ; 	168 ; 	17,93 ; 	131 ; 	13,98 ; 	81 ; 	8,64 ; 	5 ; 	0,53 ; 	7 ; 	0,75 ; 	24 ; 	2,56 ;6/9/09;6/9/09;6/15/09;6/15/09
40300;Stadt Wels                          ;41.028; 	18.945 ; 	46,18 ; 	313 ; 	1,65 ; 	18.632 ; 	98,35 ; 	5.157 ; 	27,68 ; 	3.873 ; 	20,79 ; 	3.671 ; 	19,70 ; 	1.800 ; 	9,66 ; 	2.963 ; 	15,90 ; 	116 ; 	0,62 ; 	116 ; 	0,62 ; 	936 ; 	5,02 ;6/7/09;6/7/09;6/15/09;6/15/09
40301;Wels;41.028; 	17.675 ; 	43,08 ; 	305 ; 	1,73 ; 	17.370 ; 	98,27 ; 	4.862 ; 	27,99 ; 	3.507 ; 	20,19 ; 	3.459 ; 	19,91 ; 	1.611 ; 	9,27 ; 	2.833 ; 	16,31 ; 	110 ; 	0,63 ; 	105 ; 	0,60 ; 	883 ; 	5,08 ;6/7/09;6/7/09;6/7/09;6/7/09
40399;Wahlkarten Wels                          ;0; 	1.270 ; 	0 ; 	8 ; 	0,63 ; 	1.262 ; 	99,37 ; 	295 ; 	23,38 ; 	366 ; 	29,00 ; 	212 ; 	16,80 ; 	189 ; 	14,98 ; 	130 ; 	10,30 ; 	6 ; 	0,48 ; 	11 ; 	0,87 ; 	53 ; 	4,20 ;6/9/09;6/9/09;6/15/09;6/15/09
40400;Bezirk Braunau am Inn                ;75.221; 	33.221 ; 	44,16 ; 	823 ; 	2,48 ; 	32.398 ; 	97,52 ; 	6.656 ; 	20,54 ; 	11.072 ; 	34,17 ; 	5.391 ; 	16,64 ; 	2.200 ; 	6,79 ; 	5.052 ; 	15,59 ; 	151 ; 	0,47 ; 	197 ; 	0,61 ; 	1.679 ; 	5,18 ;6/7/09;6/7/09;6/15/09;6/15/09
40401;Altheim                       ;3.882; 	1.650 ; 	42,50 ; 	21 ; 	1,27 ; 	1.629 ; 	98,73 ; 	416 ; 	25,54 ; 	466 ; 	28,61 ; 	256 ; 	15,72 ; 	91 ; 	5,59 ; 	300 ; 	18,42 ; 	2 ; 	0,12 ; 	10 ; 	0,61 ; 	88 ; 	5,40 ;6/7/09;6/7/09;6/7/09;6/7/09
40402;Aspach                        ;1.891; 	850 ; 	44,95 ; 	20 ; 	2,35 ; 	830 ; 	97,65 ; 	105 ; 	12,65 ; 	424 ; 	51,08 ; 	87 ; 	10,48 ; 	31 ; 	3,73 ; 	124 ; 	14,94 ; 	2 ; 	0,24 ; 	3 ; 	0,36 ; 	54 ; 	6,51 ;6/7/09;6/7/09;6/7/09;6/7/09
40403;Auerbach                      ;408; 	198 ; 	48,53 ; 	2 ; 	1,01 ; 	196 ; 	98,99 ; 	17 ; 	8,67 ; 	92 ; 	46,94 ; 	27 ; 	13,78 ; 	11 ; 	5,61 ; 	40 ; 	20,41 ; 	0 ; 	0 ; 	0 ; 	0 ; 	9 ; 	4,59 ;6/7/09;6/7/09;6/7/09;6/7/09
40404;Braunau am Inn                ;12.310; 	4.891 ; 	39,73 ; 	90 ; 	1,84 ; 	4.801 ; 	98,16 ; 	1.365 ; 	28,43 ; 	896 ; 	18,66 ; 	925 ; 	19,27 ; 	453 ; 	9,44 ; 	766 ; 	15,96 ; 	36 ; 	0,75 ; 	29 ; 	0,60 ; 	331 ; 	6,89 ;6/7/09;6/7/09;6/7/09;6/7/09
40405;Burgkirchen                   ;2.052; 	985 ; 	48,00 ; 	37 ; 	3,76 ; 	948 ; 	96,24 ; 	151 ; 	15,93 ; 	398 ; 	41,98 ; 	126 ; 	13,29 ; 	66 ; 	6,96 ; 	149 ; 	15,72 ; 	3 ; 	0,32 ; 	8 ; 	0,84 ; 	47 ; 	4,96 ;6/7/09;6/7/09;6/7/09;6/7/09
40406;Eggelsberg                    ;1.704; 	603 ; 	35,39 ; 	19 ; 	3,15 ; 	584 ; 	96,85 ; 	80 ; 	13,70 ; 	226 ; 	38,70 ; 	107 ; 	18,32 ; 	49 ; 	8,39 ; 	89 ; 	15,24 ; 	7 ; 	1,20 ; 	3 ; 	0,51 ; 	23 ; 	3,94 ;6/7/09;6/7/09;6/7/09;6/7/09
40407;Feldkirchen bei Mattighofen   ;1.510; 	618 ; 	40,93 ; 	16 ; 	2,59 ; 	602 ; 	97,41 ; 	79 ; 	13,12 ; 	243 ; 	40,37 ; 	74 ; 	12,29 ; 	23 ; 	3,82 ; 	150 ; 	24,92 ; 	3 ; 	0,50 ; 	2 ; 	0,33 ; 	28 ; 	4,65 ;6/7/09;6/7/09;6/7/09;6/7/09
40408;Franking                      ;701; 	305 ; 	43,51 ; 	12 ; 	3,93 ; 	293 ; 	96,07 ; 	26 ; 	8,87 ; 	145 ; 	49,49 ; 	46 ; 	15,70 ; 	13 ; 	4,44 ; 	48 ; 	16,38 ; 	1 ; 	0,34 ; 	0 ; 	0 ; 	14 ; 	4,78 ;6/7/09;6/7/09;6/7/09;6/7/09
40409;Geretsberg                    ;842; 	341 ; 	40,50 ; 	8 ; 	2,35 ; 	333 ; 	97,65 ; 	45 ; 	13,51 ; 	163 ; 	48,95 ; 	42 ; 	12,61 ; 	13 ; 	3,90 ; 	58 ; 	17,42 ; 	1 ; 	0,30 ; 	1 ; 	0,30 ; 	10 ; 	3,00 ;6/7/09;6/7/09;6/7/09;6/7/09
40410;Gilgenberg am Weilhart        ;1.004; 	345 ; 	34,36 ; 	10 ; 	2,90 ; 	335 ; 	97,10 ; 	26 ; 	7,76 ; 	164 ; 	48,96 ; 	41 ; 	12,24 ; 	17 ; 	5,07 ; 	68 ; 	20,30 ; 	1 ; 	0,30 ; 	0 ; 	0 ; 	18 ; 	5,37 ;6/7/09;6/7/09;6/7/09;6/7/09
40411;Haigermoos                    ;494; 	214 ; 	43,32 ; 	4 ; 	1,87 ; 	210 ; 	98,13 ; 	31 ; 	14,76 ; 	112 ; 	53,33 ; 	25 ; 	11,90 ; 	6 ; 	2,86 ; 	23 ; 	10,95 ; 	0 ; 	0 ; 	2 ; 	0,95 ; 	11 ; 	5,24 ;6/7/09;6/7/09;6/7/09;6/7/09
40412;Handenberg                    ;1.056; 	468 ; 	44,32 ; 	11 ; 	2,35 ; 	457 ; 	97,65 ; 	73 ; 	15,97 ; 	208 ; 	45,51 ; 	56 ; 	12,25 ; 	16 ; 	3,50 ; 	82 ; 	17,94 ; 	0 ; 	0 ; 	3 ; 	0,66 ; 	19 ; 	4,16 ;6/7/09;6/7/09;6/7/09;6/7/09
40413;Helpfau-Uttendorf             ;2.403; 	864 ; 	35,96 ; 	24 ; 	2,78 ; 	840 ; 	97,22 ; 	150 ; 	17,86 ; 	302 ; 	35,95 ; 	173 ; 	20,60 ; 	44 ; 	5,24 ; 	128 ; 	15,24 ; 	4 ; 	0,48 ; 	6 ; 	0,71 ; 	33 ; 	3,93 ;6/7/09;6/7/09;6/7/09;6/7/09
40414;Hochburg-Ach                  ;2.312; 	928 ; 	40,14 ; 	13 ; 	1,40 ; 	915 ; 	98,60 ; 	130 ; 	14,21 ; 	410 ; 	44,81 ; 	140 ; 	15,30 ; 	79 ; 	8,63 ; 	102 ; 	11,15 ; 	1 ; 	0,11 ; 	7 ; 	0,77 ; 	46 ; 	5,03 ;6/7/09;6/7/09;6/7/09;6/7/09
40415;Höhnhart                      ;1.103; 	426 ; 	38,62 ; 	9 ; 	2,11 ; 	417 ; 	97,89 ; 	83 ; 	19,90 ; 	179 ; 	42,93 ; 	43 ; 	10,31 ; 	14 ; 	3,36 ; 	80 ; 	19,18 ; 	0 ; 	0 ; 	0 ; 	0 ; 	18 ; 	4,32 ;6/7/09;6/7/09;6/7/09;6/7/09
