Europawahl  7. Juni 2009;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Nr.;Name;Wahlbe-;abgegeb.;Wahlbet.;ungültige;;gültige;;SPÖ;;ÖVP;;MARTIN;;GRÜNE;;FPÖ;;KPÖ;;JuLis;;BZÖ;;erste Eingabe;;letzte Eingabe;
;;rechtigte;Stimmen;in %;Stimmen;in %;Stimmen;in %;Stimmen;Ant. %;Stimmen;Ant. %;Stimmen;Ant. %;Stimmen;Ant. %;Stimmen;Ant. %;Stimmen;Ant. %;Stimmen;Ant. %;Stimmen;Ant. %;Datum;Zeit;Datum;Zeit
40499;Wahlkarten Braunau am Inn                ;0; 	1.869 ; 	0 ; 	17 ; 	0,91 ; 	1.852 ; 	99,09 ; 	341 ; 	18,41 ; 	693 ; 	37,42 ; 	277 ; 	14,96 ; 	267 ; 	14,42 ; 	157 ; 	8,48 ; 	10 ; 	0,54 ; 	21 ; 	1,13 ; 	86 ; 	4,64 ;6/9/09;6/9/09;6/15/09;6/15/09
40500;Bezirk Eferding                      ;25.083; 	13.122 ; 	52,31 ; 	295 ; 	2,25 ; 	12.827 ; 	97,75 ; 	3.012 ; 	23,48 ; 	4.183 ; 	32,61 ; 	2.077 ; 	16,19 ; 	978 ; 	7,62 ; 	1.978 ; 	15,42 ; 	60 ; 	0,47 ; 	46 ; 	0,36 ; 	493 ; 	3,84 ;6/7/09;6/7/09;6/15/09;6/15/09
40501;Alkoven                       ;4.272; 	2.145 ; 	50,21 ; 	54 ; 	2,52 ; 	2.091 ; 	97,48 ; 	704 ; 	33,67 ; 	505 ; 	24,15 ; 	361 ; 	17,26 ; 	143 ; 	6,84 ; 	280 ; 	13,39 ; 	15 ; 	0,72 ; 	9 ; 	0,43 ; 	74 ; 	3,54 ;6/7/09;6/7/09;6/7/09;6/7/09
40502;Aschach an der Donau          ;1.683; 	921 ; 	54,69 ; 	18 ; 	1,95 ; 	903 ; 	98,05 ; 	251 ; 	27,80 ; 	204 ; 	22,59 ; 	161 ; 	17,83 ; 	85 ; 	9,41 ; 	173 ; 	19,16 ; 	0 ; 	0 ; 	5 ; 	0,55 ; 	24 ; 	2,66 ;6/7/09;6/7/09;6/7/09;6/7/09
40503;Eferding                      ;2.809; 	1.288 ; 	45,85 ; 	22 ; 	1,71 ; 	1.266 ; 	98,29 ; 	346 ; 	27,33 ; 	377 ; 	29,78 ; 	181 ; 	14,30 ; 	111 ; 	8,77 ; 	202 ; 	15,96 ; 	6 ; 	0,47 ; 	5 ; 	0,39 ; 	38 ; 	3,00 ;6/7/09;6/7/09;6/7/09;6/7/09
40504;Fraham                        ;1.703; 	778 ; 	45,68 ; 	15 ; 	1,93 ; 	763 ; 	98,07 ; 	213 ; 	27,92 ; 	194 ; 	25,43 ; 	125 ; 	16,38 ; 	60 ; 	7,86 ; 	134 ; 	17,56 ; 	6 ; 	0,79 ; 	4 ; 	0,52 ; 	27 ; 	3,54 ;6/7/09;6/7/09;6/7/09;6/7/09
40505;Haibach ob der Donau          ;1.082; 	479 ; 	44,27 ; 	8 ; 	1,67 ; 	471 ; 	98,33 ; 	107 ; 	22,72 ; 	201 ; 	42,68 ; 	70 ; 	14,86 ; 	37 ; 	7,86 ; 	36 ; 	7,64 ; 	5 ; 	1,06 ; 	0 ; 	0 ; 	15 ; 	3,18 ;6/7/09;6/7/09;6/7/09;6/7/09
40506;Hartkirchen                   ;3.397; 	1.561 ; 	45,95 ; 	32 ; 	2,05 ; 	1.529 ; 	97,95 ; 	280 ; 	18,31 ; 	547 ; 	35,78 ; 	273 ; 	17,85 ; 	100 ; 	6,54 ; 	264 ; 	17,27 ; 	9 ; 	0,59 ; 	6 ; 	0,39 ; 	50 ; 	3,27 ;6/7/09;6/7/09;6/7/09;6/7/09
40507;Hinzenbach                    ;1.533; 	734 ; 	47,88 ; 	24 ; 	3,27 ; 	710 ; 	96,73 ; 	177 ; 	24,93 ; 	244 ; 	34,37 ; 	111 ; 	15,63 ; 	28 ; 	3,94 ; 	112 ; 	15,77 ; 	1 ; 	0,14 ; 	1 ; 	0,14 ; 	36 ; 	5,07 ;6/7/09;6/7/09;6/7/09;6/7/09
40508;Prambachkirchen               ;2.257; 	1.227 ; 	54,36 ; 	32 ; 	2,61 ; 	1.195 ; 	97,39 ; 	202 ; 	16,90 ; 	514 ; 	43,01 ; 	179 ; 	14,98 ; 	72 ; 	6,03 ; 	169 ; 	14,14 ; 	6 ; 	0,50 ; 	2 ; 	0,17 ; 	51 ; 	4,27 ;6/7/09;6/7/09;6/7/09;6/7/09
40509;Pupping                       ;1.603; 	762 ; 	47,54 ; 	17 ; 	2,23 ; 	745 ; 	97,77 ; 	159 ; 	21,34 ; 	254 ; 	34,09 ; 	121 ; 	16,24 ; 	45 ; 	6,04 ; 	128 ; 	17,18 ; 	1 ; 	0,13 ; 	2 ; 	0,27 ; 	35 ; 	4,70 ;6/7/09;6/7/09;6/7/09;6/7/09
40510;St.Marienkirchen an d. Polsenz;1.810; 	942 ; 	52,04 ; 	35 ; 	3,72 ; 	907 ; 	96,28 ; 	168 ; 	18,52 ; 	324 ; 	35,72 ; 	162 ; 	17,86 ; 	66 ; 	7,28 ; 	146 ; 	16,10 ; 	1 ; 	0,11 ; 	1 ; 	0,11 ; 	39 ; 	4,30 ;6/7/09;6/7/09;6/7/09;6/7/09
40511;Scharten                      ;1.672; 	972 ; 	58,13 ; 	10 ; 	1,03 ; 	962 ; 	98,97 ; 	193 ; 	20,06 ; 	254 ; 	26,40 ; 	153 ; 	15,90 ; 	94 ; 	9,77 ; 	212 ; 	22,04 ; 	5 ; 	0,52 ; 	4 ; 	0,42 ; 	47 ; 	4,89 ;6/7/09;6/7/09;6/7/09;6/7/09
40512;Stroheim                      ;1.262; 	592 ; 	46,91 ; 	18 ; 	3,04 ; 	574 ; 	96,96 ; 	65 ; 	11,32 ; 	293 ; 	51,05 ; 	92 ; 	16,03 ; 	24 ; 	4,18 ; 	62 ; 	10,80 ; 	3 ; 	0,52 ; 	2 ; 	0,35 ; 	33 ; 	5,75 ;6/7/09;6/7/09;6/7/09;6/7/09
40599;Wahlkarten Eferding                      ;0; 	721 ; 	0 ; 	10 ; 	1,39 ; 	711 ; 	98,61 ; 	147 ; 	20,68 ; 	272 ; 	38,26 ; 	88 ; 	12,38 ; 	113 ; 	15,89 ; 	60 ; 	8,44 ; 	2 ; 	0,28 ; 	5 ; 	0,70 ; 	24 ; 	3,38 ;6/9/09;6/9/09;6/15/09;6/15/09
40600;Bezirk Freistadt                     ;52.021; 	28.698 ; 	55,17 ; 	842 ; 	2,93 ; 	27.856 ; 	97,07 ; 	6.104 ; 	21,91 ; 	11.275 ; 	40,48 ; 	4.034 ; 	14,48 ; 	2.279 ; 	8,18 ; 	2.994 ; 	10,75 ; 	136 ; 	0,49 ; 	118 ; 	0,42 ; 	916 ; 	3,29 ;6/7/09;6/7/09;6/15/09;6/15/09
40601;Freistadt                     ;5.845; 	2.985 ; 	51,07 ; 	73 ; 	2,45 ; 	2.912 ; 	97,55 ; 	698 ; 	23,97 ; 	882 ; 	30,29 ; 	432 ; 	14,84 ; 	362 ; 	12,43 ; 	401 ; 	13,77 ; 	20 ; 	0,69 ; 	12 ; 	0,41 ; 	105 ; 	3,61 ;6/7/09;6/7/09;6/7/09;6/7/09
40602;Grünbach                      ;1.483; 	657 ; 	44,30 ; 	31 ; 	4,72 ; 	626 ; 	95,28 ; 	73 ; 	11,66 ; 	270 ; 	43,13 ; 	120 ; 	19,17 ; 	36 ; 	5,75 ; 	86 ; 	13,74 ; 	3 ; 	0,48 ; 	3 ; 	0,48 ; 	35 ; 	5,59 ;6/7/09;6/7/09;6/7/09;6/7/09
40603;Gutau                         ;2.155; 	1.079 ; 	50,07 ; 	25 ; 	2,32 ; 	1.054 ; 	97,68 ; 	255 ; 	24,19 ; 	425 ; 	40,32 ; 	148 ; 	14,04 ; 	76 ; 	7,21 ; 	113 ; 	10,72 ; 	3 ; 	0,28 ; 	6 ; 	0,57 ; 	28 ; 	2,66 ;6/7/09;6/7/09;6/7/09;6/7/09
40604;Hagenberg im Mühlkreis        ;2.114; 	1.100 ; 	52,03 ; 	28 ; 	2,55 ; 	1.072 ; 	97,45 ; 	265 ; 	24,72 ; 	292 ; 	27,24 ; 	193 ; 	18,00 ; 	140 ; 	13,06 ; 	128 ; 	11,94 ; 	6 ; 	0,56 ; 	10 ; 	0,93 ; 	38 ; 	3,54 ;6/7/09;6/7/09;6/7/09;6/7/09
40605;Hirschbach im Mühlkreis       ;918; 	534 ; 	58,17 ; 	19 ; 	3,56 ; 	515 ; 	96,44 ; 	95 ; 	18,45 ; 	240 ; 	46,60 ; 	65 ; 	12,62 ; 	36 ; 	6,99 ; 	59 ; 	11,46 ; 	1 ; 	0,19 ; 	3 ; 	0,58 ; 	16 ; 	3,11 ;6/7/09;6/7/09;6/7/09;6/7/09
40606;Kaltenberg                    ;508; 	322 ; 	63,39 ; 	11 ; 	3,42 ; 	311 ; 	96,58 ; 	15 ; 	4,82 ; 	230 ; 	73,95 ; 	23 ; 	7,40 ; 	4 ; 	1,29 ; 	32 ; 	10,29 ; 	1 ; 	0,32 ; 	1 ; 	0,32 ; 	5 ; 	1,61 ;6/7/09;6/7/09;6/7/09;6/7/09
40607;Kefermarkt                    ;1.699; 	914 ; 	53,80 ; 	34 ; 	3,72 ; 	880 ; 	96,28 ; 	230 ; 	26,14 ; 	323 ; 	36,70 ; 	139 ; 	15,80 ; 	65 ; 	7,39 ; 	80 ; 	9,09 ; 	3 ; 	0,34 ; 	6 ; 	0,68 ; 	34 ; 	3,86 ;6/7/09;6/7/09;6/7/09;6/7/09
40608;Königswiesen                  ;2.532; 	1.242 ; 	49,05 ; 	33 ; 	2,66 ; 	1.209 ; 	97,34 ; 	190 ; 	15,72 ; 	560 ; 	46,32 ; 	159 ; 	13,15 ; 	65 ; 	5,38 ; 	178 ; 	14,72 ; 	4 ; 	0,33 ; 	5 ; 	0,41 ; 	48 ; 	3,97 ;6/7/09;6/7/09;6/7/09;6/7/09
40609;Lasberg                       ;2.284; 	1.256 ; 	54,99 ; 	42 ; 	3,34 ; 	1.214 ; 	96,66 ; 	193 ; 	15,90 ; 	551 ; 	45,39 ; 	177 ; 	14,58 ; 	109 ; 	8,98 ; 	136 ; 	11,20 ; 	2 ; 	0,16 ; 	2 ; 	0,16 ; 	44 ; 	3,62 ;6/7/09;6/7/09;6/7/09;6/7/09
40610;Leopoldschlag                 ;855; 	512 ; 	59,88 ; 	14 ; 	2,73 ; 	498 ; 	97,27 ; 	52 ; 	10,44 ; 	287 ; 	57,63 ; 	57 ; 	11,45 ; 	30 ; 	6,02 ; 	57 ; 	11,45 ; 	0 ; 	0 ; 	3 ; 	0,60 ; 	12 ; 	2,41 ;6/7/09;6/7/09;6/7/09;6/7/09
40611;Liebenau                      ;1.456; 	854 ; 	58,65 ; 	25 ; 	2,93 ; 	829 ; 	97,07 ; 	168 ; 	20,27 ; 	427 ; 	51,51 ; 	109 ; 	13,15 ; 	21 ; 	2,53 ; 	84 ; 	10,13 ; 	4 ; 	0,48 ; 	2 ; 	0,24 ; 	14 ; 	1,69 ;6/7/09;6/7/09;6/7/09;6/7/09
40612;Neumarkt im Mühlkreis         ;2.490; 	1.415 ; 	56,83 ; 	44 ; 	3,11 ; 	1.371 ; 	96,89 ; 	318 ; 	23,19 ; 	520 ; 	37,93 ; 	206 ; 	15,03 ; 	137 ; 	9,99 ; 	148 ; 	10,80 ; 	7 ; 	0,51 ; 	7 ; 	0,51 ; 	28 ; 	2,04 ;6/7/09;6/7/09;6/7/09;6/7/09
40613;Pierbach                      ;806; 	348 ; 	43,18 ; 	10 ; 	2,87 ; 	338 ; 	97,13 ; 	55 ; 	16,27 ; 	160 ; 	47,34 ; 	44 ; 	13,02 ; 	21 ; 	6,21 ; 	44 ; 	13,02 ; 	1 ; 	0,30 ; 	0 ; 	0 ; 	13 ; 	3,85 ;6/7/09;6/7/09;6/7/09;6/7/09
40614;Pregarten                     ;3.967; 	2.046 ; 	51,58 ; 	56 ; 	2,74 ; 	1.990 ; 	97,26 ; 	551 ; 	27,69 ; 	643 ; 	32,31 ; 	317 ; 	15,93 ; 	147 ; 	7,39 ; 	238 ; 	11,96 ; 	10 ; 	0,50 ; 	10 ; 	0,50 ; 	74 ; 	3,72 ;6/7/09;6/7/09;6/7/09;6/7/09
40615;Rainbach im Mühlkreis         ;2.303; 	1.097 ; 	47,63 ; 	39 ; 	3,56 ; 	1.058 ; 	96,44 ; 	215 ; 	20,32 ; 	553 ; 	52,27 ; 	108 ; 	10,21 ; 	62 ; 	5,86 ; 	78 ; 	7,37 ; 	0 ; 	0 ; 	4 ; 	0,38 ; 	38 ; 	3,59 ;6/7/09;6/7/09;6/7/09;6/7/09
40616;Sandl                         ;1.159; 	632 ; 	54,53 ; 	18 ; 	2,85 ; 	614 ; 	97,15 ; 	205 ; 	33,39 ; 	201 ; 	32,74 ; 	108 ; 	17,59 ; 	35 ; 	5,70 ; 	38 ; 	6,19 ; 	8 ; 	1,30 ; 	1 ; 	0,16 ; 	18 ; 	2,93 ;6/7/09;6/7/09;6/7/09;6/7/09
40617;St.Leonhard bei Freistadt     ;1.183; 	654 ; 	55,28 ; 	13 ; 	1,99 ; 	641 ; 	98,01 ; 	143 ; 	22,31 ; 	291 ; 	45,40 ; 	103 ; 	16,07 ; 	29 ; 	4,52 ; 	56 ; 	8,74 ; 	3 ; 	0,47 ; 	2 ; 	0,31 ; 	14 ; 	2,18 ;6/7/09;6/7/09;6/7/09;6/7/09
40618;St.Oswald bei Freistadt       ;2.154; 	1.013 ; 	47,03 ; 	29 ; 	2,86 ; 	984 ; 	97,14 ; 	252 ; 	25,61 ; 	402 ; 	40,85 ; 	144 ; 	14,63 ; 	47 ; 	4,78 ; 	96 ; 	9,76 ; 	8 ; 	0,81 ; 	0 ; 	0 ; 	35 ; 	3,56 ;6/7/09;6/7/09;6/7/09;6/7/09
40619;Schönau im Mühlkreis          ;1.511; 	845 ; 	55,92 ; 	25 ; 	2,96 ; 	820 ; 	97,04 ; 	107 ; 	13,05 ; 	398 ; 	48,54 ; 	154 ; 	18,78 ; 	33 ; 	4,02 ; 	97 ; 	11,83 ; 	2 ; 	0,24 ; 	2 ; 	0,24 ; 	27 ; 	3,29 ;6/7/09;6/7/09;6/7/09;6/7/09
40620;Tragwein                      ;2.454; 	1.470 ; 	59,90 ; 	30 ; 	2,04 ; 	1.440 ; 	97,96 ; 	409 ; 	28,40 ; 	605 ; 	42,01 ; 	190 ; 	13,19 ; 	79 ; 	5,49 ; 	99 ; 	6,88 ; 	8 ; 	0,56 ; 	9 ; 	0,63 ; 	41 ; 	2,85 ;6/7/09;6/7/09;6/7/09;6/7/09
40621;Unterweißenbach               ;1.934; 	785 ; 	40,59 ; 	24 ; 	3,06 ; 	761 ; 	96,94 ; 	106 ; 	13,93 ; 	418 ; 	54,93 ; 	89 ; 	11,70 ; 	38 ; 	4,99 ; 	87 ; 	11,43 ; 	2 ; 	0,26 ; 	3 ; 	0,39 ; 	18 ; 	2,37 ;6/7/09;6/7/09;6/7/09;6/7/09
40622;Unterweitersdorf              ;1.533; 	887 ; 	57,86 ; 	25 ; 	2,82 ; 	862 ; 	97,18 ; 	271 ; 	31,44 ; 	252 ; 	29,23 ; 	142 ; 	16,47 ; 	65 ; 	7,54 ; 	91 ; 	10,56 ; 	4 ; 	0,46 ; 	0 ; 	0 ; 	37 ; 	4,29 ;6/7/09;6/7/09;6/7/09;6/7/09
40623;Waldburg                      ;1.079; 	594 ; 	55,05 ; 	16 ; 	2,69 ; 	578 ; 	97,31 ; 	107 ; 	18,51 ; 	255 ; 	44,12 ; 	72 ; 	12,46 ; 	52 ; 	9,00 ; 	60 ; 	10,38 ; 	2 ; 	0,35 ; 	2 ; 	0,35 ; 	28 ; 	4,84 ;6/7/09;6/7/09;6/7/09;6/7/09
40624;Wartberg ob der Aist          ;3.268; 	1.802 ; 	55,14 ; 	59 ; 	3,27 ; 	1.743 ; 	96,73 ; 	501 ; 	28,74 ; 	451 ; 	25,87 ; 	295 ; 	16,92 ; 	206 ; 	11,82 ; 	190 ; 	10,90 ; 	9 ; 	0,52 ; 	8 ; 	0,46 ; 	83 ; 	4,76 ;6/7/09;6/7/09;6/7/09;6/7/09
40625;Weitersfelden                 ;871; 	563 ; 	64,64 ; 	11 ; 	1,95 ; 	552 ; 	98,05 ; 	98 ; 	17,75 ; 	307 ; 	55,62 ; 	60 ; 	10,87 ; 	30 ; 	5,43 ; 	46 ; 	8,33 ; 	3 ; 	0,54 ; 	0 ; 	0 ; 	8 ; 	1,45 ;6/7/09;6/7/09;6/7/09;6/7/09
40626;Windhaag bei Freistadt        ;1.289; 	720 ; 	55,86 ; 	38 ; 	5,28 ; 	682 ; 	94,72 ; 	112 ; 	16,42 ; 	371 ; 	54,40 ; 	52 ; 	7,62 ; 	33 ; 	4,84 ; 	85 ; 	12,46 ; 	5 ; 	0,73 ; 	7 ; 	1,03 ; 	17 ; 	2,49 ;6/7/09;6/7/09;6/7/09;6/7/09
40627;Bad Zell                      ;2.171; 	1.181 ; 	54,40 ; 	49 ; 	4,15 ; 	1.132 ; 	95,85 ; 	179 ; 	15,81 ; 	523 ; 	46,20 ; 	177 ; 	15,64 ; 	111 ; 	9,81 ; 	107 ; 	9,45 ; 	5 ; 	0,44 ; 	2 ; 	0,18 ; 	28 ; 	2,47 ;6/7/09;6/7/09;6/7/09;6/7/09
40699;Wahlkarten Freistadt                     ;0; 	1.191 ; 	0 ; 	21 ; 	1,76 ; 	1.170 ; 	98,24 ; 	241 ; 	20,60 ; 	438 ; 	37,44 ; 	151 ; 	12,91 ; 	210 ; 	17,95 ; 	80 ; 	6,84 ; 	12 ; 	1,03 ; 	8 ; 	0,68 ; 	30 ; 	2,56 ;6/9/09;6/9/09;6/15/09;6/15/09
40700;Bezirk Gmunden                       ;78.931; 	39.495 ; 	50,04 ; 	1.039 ; 	2,63 ; 	38.456 ; 	97,37 ; 	10.426 ; 	27,11 ; 	10.290 ; 	26,76 ; 	6.984 ; 	18,16 ; 	3.513 ; 	9,14 ; 	4.960 ; 	12,90 ; 	235 ; 	0,61 ; 	262 ; 	0,68 ; 	1.786 ; 	4,64 ;6/7/09;6/7/09;6/15/09;6/15/09
40701;Altmünster                    ;7.797; 	3.891 ; 	49,90 ; 	134 ; 	3,44 ; 	3.757 ; 	96,56 ; 	852 ; 	22,68 ; 	1.149 ; 	30,58 ; 	683 ; 	18,18 ; 	366 ; 	9,74 ; 	462 ; 	12,30 ; 	12 ; 	0,32 ; 	25 ; 	0,67 ; 	208 ; 	5,54 ;6/7/09;6/7/09;6/7/09;6/7/09
40702;Bad Goisern                   ;6.000; 	2.397 ; 	39,95 ; 	64 ; 	2,67 ; 	2.333 ; 	97,33 ; 	883 ; 	37,85 ; 	340 ; 	14,57 ; 	462 ; 	19,80 ; 	172 ; 	7,37 ; 	273 ; 	11,70 ; 	19 ; 	0,81 ; 	13 ; 	0,56 ; 	171 ; 	7,33 ;6/7/09;6/7/09;6/7/09;6/7/09
40703;Bad Ischl                     ;11.085; 	4.411 ; 	39,79 ; 	102 ; 	2,31 ; 	4.309 ; 	97,69 ; 	1.131 ; 	26,25 ; 	1.063 ; 	24,67 ; 	783 ; 	18,17 ; 	460 ; 	10,68 ; 	593 ; 	13,76 ; 	32 ; 	0,74 ; 	28 ; 	0,65 ; 	219 ; 	5,08 ;6/7/09;6/7/09;6/7/09;6/7/09
40704;Ebensee                       ;6.583; 	2.989 ; 	45,40 ; 	98 ; 	3,28 ; 	2.891 ; 	96,72 ; 	1.033 ; 	35,73 ; 	574 ; 	19,85 ; 	591 ; 	20,44 ; 	239 ; 	8,27 ; 	303 ; 	10,48 ; 	26 ; 	0,90 ; 	18 ; 	0,62 ; 	107 ; 	3,70 ;6/7/09;6/7/09;6/7/09;6/7/09
40705;Gmunden                       ;10.385; 	4.912 ; 	47,30 ; 	107 ; 	2,18 ; 	4.805 ; 	97,82 ; 	961 ; 	20,00 ; 	1.449 ; 	30,16 ; 	861 ; 	17,92 ; 	591 ; 	12,30 ; 	661 ; 	13,76 ; 	27 ; 	0,56 ; 	40 ; 	0,83 ; 	215 ; 	4,47 ;6/7/09;6/7/09;6/7/09;6/7/09
40706;Gosau                         ;1.558; 	655 ; 	42,04 ; 	17 ; 	2,60 ; 	638 ; 	97,40 ; 	291 ; 	45,61 ; 	130 ; 	20,38 ; 	113 ; 	17,71 ; 	17 ; 	2,66 ; 	61 ; 	9,56 ; 	1 ; 	0,16 ; 	2 ; 	0,31 ; 	23 ; 	3,61 ;6/7/09;6/7/09;6/7/09;6/7/09
40707;Grünau im Almtal              ;1.664; 	864 ; 	51,92 ; 	13 ; 	1,50 ; 	851 ; 	98,50 ; 	214 ; 	25,15 ; 	268 ; 	31,49 ; 	138 ; 	16,22 ; 	60 ; 	7,05 ; 	139 ; 	16,33 ; 	4 ; 	0,47 ; 	2 ; 	0,24 ; 	26 ; 	3,06 ;6/7/09;6/7/09;6/7/09;6/7/09
40708;Gschwandt                     ;2.022; 	990 ; 	48,96 ; 	22 ; 	2,22 ; 	968 ; 	97,78 ; 	192 ; 	19,83 ; 	338 ; 	34,92 ; 	160 ; 	16,53 ; 	92 ; 	9,50 ; 	133 ; 	13,74 ; 	2 ; 	0,21 ; 	6 ; 	0,62 ; 	45 ; 	4,65 ;6/7/09;6/7/09;6/7/09;6/7/09
40709;Hallstatt                     ;716; 	396 ; 	55,31 ; 	16 ; 	4,04 ; 	380 ; 	95,96 ; 	163 ; 	42,89 ; 	63 ; 	16,58 ; 	66 ; 	17,37 ; 	44 ; 	11,58 ; 	22 ; 	5,79 ; 	5 ; 	1,32 ; 	2 ; 	0,53 ; 	15 ; 	3,95 ;6/7/09;6/7/09;6/7/09;6/7/09
40710;Kirchham                      ;1.523; 	708 ; 	46,49 ; 	17 ; 	2,40 ; 	691 ; 	97,60 ; 	96 ; 	13,89 ; 	315 ; 	45,59 ; 	110 ; 	15,92 ; 	47 ; 	6,80 ; 	85 ; 	12,30 ; 	4 ; 	0,58 ; 	3 ; 	0,43 ; 	31 ; 	4,49 ;6/7/09;6/7/09;6/7/09;6/7/09
40711;Laakirchen                    ;7.000; 	3.624 ; 	51,77 ; 	126 ; 	3,48 ; 	3.498 ; 	96,52 ; 	1.213 ; 	34,68 ; 	730 ; 	20,87 ; 	650 ; 	18,58 ; 	206 ; 	5,89 ; 	496 ; 	14,18 ; 	24 ; 	0,69 ; 	25 ; 	0,71 ; 	154 ; 	4,40 ;6/7/09;6/7/09;6/7/09;6/7/09
40712;Obertraun                     ;586; 	315 ; 	53,75 ; 	12 ; 	3,81 ; 	303 ; 	96,19 ; 	155 ; 	51,16 ; 	47 ; 	15,51 ; 	64 ; 	21,12 ; 	12 ; 	3,96 ; 	19 ; 	6,27 ; 	4 ; 	1,32 ; 	0 ; 	0 ; 	2 ; 	0,66 ;6/7/09;6/7/09;6/7/09;6/7/09
40713;Ohlsdorf                      ;3.828; 	1.895 ; 	49,50 ; 	58 ; 	3,06 ; 	1.837 ; 	96,94 ; 	478 ; 	26,02 ; 	489 ; 	26,62 ; 	347 ; 	18,89 ; 	140 ; 	7,62 ; 	286 ; 	15,57 ; 	11 ; 	0,60 ; 	13 ; 	0,71 ; 	73 ; 	3,97 ;6/7/09;6/7/09;6/7/09;6/7/09
40714;Pinsdorf                      ;2.829; 	1.440 ; 	50,90 ; 	32 ; 	2,22 ; 	1.408 ; 	97,78 ; 	449 ; 	31,89 ; 	278 ; 	19,74 ; 	263 ; 	18,68 ; 	95 ; 	6,75 ; 	231 ; 	16,41 ; 	7 ; 	0,50 ; 	8 ; 	0,57 ; 	77 ; 	5,47 ;6/7/09;6/7/09;6/7/09;6/7/09
40715;Roitham                       ;1.598; 	731 ; 	45,74 ; 	14 ; 	1,92 ; 	717 ; 	98,08 ; 	170 ; 	23,71 ; 	229 ; 	31,94 ; 	119 ; 	16,60 ; 	40 ; 	5,58 ; 	117 ; 	16,32 ; 	4 ; 	0,56 ; 	7 ; 	0,98 ; 	31 ; 	4,32 ;6/7/09;6/7/09;6/7/09;6/7/09
40716;St.Konrad                     ;857; 	410 ; 	47,84 ; 	10 ; 	2,44 ; 	400 ; 	97,56 ; 	89 ; 	22,25 ; 	177 ; 	44,25 ; 	48 ; 	12,00 ; 	27 ; 	6,75 ; 	37 ; 	9,25 ; 	0 ; 	0 ; 	2 ; 	0,50 ; 	20 ; 	5,00 ;6/7/09;6/7/09;6/7/09;6/7/09
40717;St.Wolfgang im Salzkammergut  ;2.160; 	861 ; 	39,86 ; 	24 ; 	2,79 ; 	837 ; 	97,21 ; 	163 ; 	19,47 ; 	311 ; 	37,16 ; 	162 ; 	19,35 ; 	52 ; 	6,21 ; 	93 ; 	11,11 ; 	7 ; 	0,84 ; 	10 ; 	1,19 ; 	39 ; 	4,66 ;6/7/09;6/7/09;6/7/09;6/7/09
40718;Traunkirchen                  ;1.361; 	746 ; 	54,81 ; 	16 ; 	2,14 ; 	730 ; 	97,86 ; 	174 ; 	23,84 ; 	256 ; 	35,07 ; 	130 ; 	17,81 ; 	63 ; 	8,63 ; 	64 ; 	8,77 ; 	5 ; 	0,68 ; 	6 ; 	0,82 ; 	32 ; 	4,38 ;6/7/09;6/7/09;6/7/09;6/7/09
40719;Scharnstein                   ;3.663; 	1.664 ; 	45,43 ; 	41 ; 	2,46 ; 	1.623 ; 	97,54 ; 	431 ; 	26,56 ; 	408 ; 	25,14 ; 	311 ; 	19,16 ; 	138 ; 	8,50 ; 	240 ; 	14,79 ; 	8 ; 	0,49 ; 	9 ; 	0,55 ; 	78 ; 	4,81 ;6/7/09;6/7/09;6/7/09;6/7/09
40720;Vorchdorf                     ;5.716; 	2.879 ; 	50,37 ; 	71 ; 	2,47 ; 	2.808 ; 	97,53 ; 	679 ; 	24,18 ; 	770 ; 	27,42 ; 	538 ; 	19,16 ; 	236 ; 	8,40 ; 	436 ; 	15,53 ; 	7 ; 	0,25 ; 	9 ; 	0,32 ; 	133 ; 	4,74 ;6/7/09;6/7/09;6/7/09;6/7/09
40799;Wahlkarten Gmunden                       ;0; 	2.717 ; 	0 ; 	45 ; 	1,66 ; 	2.672 ; 	98,34 ; 	609 ; 	22,79 ; 	906 ; 	33,91 ; 	385 ; 	14,41 ; 	416 ; 	15,57 ; 	209 ; 	7,82 ; 	26 ; 	0,97 ; 	34 ; 	1,27 ; 	87 ; 	3,26 ;6/9/09;6/9/09;6/15/09;6/15/09
40800;Bezirk Grieskirchen                  ;49.515; 	25.896 ; 	52,30 ; 	717 ; 	2,77 ; 	25.179 ; 	97,23 ; 	4.445 ; 	17,65 ; 	10.317 ; 	40,97 ; 	3.689 ; 	14,65 ; 	1.848 ; 	7,34 ; 	3.587 ; 	14,25 ; 	93 ; 	0,37 ; 	102 ; 	0,41 ; 	1.098 ; 	4,36 ;6/7/09;6/7/09;6/15/09;6/15/09
40801;Aistersheim                   ;643; 	313 ; 	48,68 ; 	10 ; 	3,19 ; 	303 ; 	96,81 ; 	29 ; 	9,57 ; 	158 ; 	52,15 ; 	39 ; 	12,87 ; 	8 ; 	2,64 ; 	60 ; 	19,80 ; 	0 ; 	0 ; 	1 ; 	0,33 ; 	8 ; 	2,64 ;6/7/09;6/7/09;6/7/09;6/7/09
