Europawahl 2014 - Stimmen;;;;;;;Stand:;41785,6680579051;;;;;;;;;;;;;;;;;;;;;;;;;;
Nr.;Name;Wahlbe-;abgegeb.;Wahlbet.;ungültige;;gültige;;ÖVP;;SPÖ;;leer;;FPÖ;;GRÜNE;;BZÖ;;NEOS;;REKOS;;ANDERS;;EUSTOP;;WANDL;;erste Eingabe;;letzte Eingabe;
;;rechtigte;Stimmen;in %;Stimmen;in %;Stimmen;in %;Stimmen;Ant. %;Stimmen;Ant. %;Stimmen;Ant. %;Stimmen;Ant. %;Stimmen;Ant. %;Stimmen;Ant. %;Stimmen;Ant. %;Stimmen;Ant. %;Stimmen;Ant. %;Stimmen;Ant. %;Stimmen;Ant. %;Datum;Zeit;Datum;Zeit
40425;Moosdorf                      ;1.235; 	429 ; 	34,74 ; 	17 ; 	3,96 ; 	412 ; 	96,04 ; 	136 ; 	33,01 ; 	120 ; 	29,13 ; 	0 ; 	0 ; 	71 ; 	17,23 ; 	49 ; 	11,89 ; 	0 ; 	0 ; 	20 ; 	4,85 ; 	1 ; 	0,24 ; 	4 ; 	0,97 ; 	11 ; 	2,67 ; 	0 ; 	0 ;41784,5745582523;41784,5745582523;41784,5745582523;41784,5745582523
40426;Munderfing                    ;2.237; 	948 ; 	42,38 ; 	48 ; 	5,06 ; 	900 ; 	94,94 ; 	321 ; 	35,67 ; 	189 ; 	21,00 ; 	0 ; 	0 ; 	185 ; 	20,56 ; 	89 ; 	9,89 ; 	3 ; 	0,33 ; 	58 ; 	6,44 ; 	13 ; 	1,44 ; 	14 ; 	1,56 ; 	28 ; 	3,11 ; 	0 ; 	0 ;41784,5746716088;41784,5746716088;41784,5752237616;41784,5752237616
40427;Neukirchen an der Enknach     ;1.728; 	685 ; 	39,64 ; 	30 ; 	4,38 ; 	655 ; 	95,62 ; 	235 ; 	35,88 ; 	125 ; 	19,08 ; 	0 ; 	0 ; 	147 ; 	22,44 ; 	69 ; 	10,53 ; 	4 ; 	0,61 ; 	24 ; 	3,66 ; 	13 ; 	1,98 ; 	13 ; 	1,98 ; 	25 ; 	3,82 ; 	0 ; 	0 ;41784,5948153935;41784,5948153935;41784,5948153935;41784,5948153935
40428;Ostermiething                 ;2.438; 	776 ; 	31,83 ; 	30 ; 	3,87 ; 	746 ; 	96,13 ; 	243 ; 	32,57 ; 	138 ; 	18,50 ; 	0 ; 	0 ; 	167 ; 	22,39 ; 	97 ; 	13,00 ; 	6 ; 	0,80 ; 	62 ; 	8,31 ; 	4 ; 	0,54 ; 	9 ; 	1,21 ; 	20 ; 	2,68 ; 	0 ; 	0 ;41784,610709294;41784,610709294;41784,610709294;41784,610709294
40429;Palting                       ;768; 	270 ; 	35,16 ; 	12 ; 	4,44 ; 	258 ; 	95,56 ; 	95 ; 	36,82 ; 	42 ; 	16,28 ; 	0 ; 	0 ; 	50 ; 	19,38 ; 	27 ; 	10,47 ; 	2 ; 	0,78 ; 	28 ; 	10,85 ; 	0 ; 	0 ; 	4 ; 	1,55 ; 	10 ; 	3,88 ; 	0 ; 	0 ;41784,5565050116;41784,5565050116;41784,5565050116;41784,5565050116
40430;Perwang am Grabensee          ;729; 	280 ; 	38,41 ; 	10 ; 	3,57 ; 	270 ; 	96,43 ; 	108 ; 	40,00 ; 	39 ; 	14,44 ; 	0 ; 	0 ; 	49 ; 	18,15 ; 	32 ; 	11,85 ; 	0 ; 	0 ; 	30 ; 	11,11 ; 	3 ; 	1,11 ; 	3 ; 	1,11 ; 	6 ; 	2,22 ; 	0 ; 	0 ;41784,5480515394;41784,5480515394;41784,5480515394;41784,5480515394
40431;Pfaffstätt                    ;751; 	295 ; 	39,28 ; 	17 ; 	5,76 ; 	278 ; 	94,24 ; 	102 ; 	36,69 ; 	63 ; 	22,66 ; 	0 ; 	0 ; 	57 ; 	20,50 ; 	22 ; 	7,91 ; 	4 ; 	1,44 ; 	18 ; 	6,47 ; 	5 ; 	1,80 ; 	2 ; 	0,72 ; 	5 ; 	1,80 ; 	0 ; 	0 ;41784,5485731481;41784,5485731481;41784,5485731481;41784,5485731481
40432;Pischelsdorf am Engelbach     ;1.318; 	532 ; 	40,36 ; 	24 ; 	4,51 ; 	508 ; 	95,49 ; 	229 ; 	45,08 ; 	64 ; 	12,60 ; 	0 ; 	0 ; 	135 ; 	26,57 ; 	27 ; 	5,31 ; 	5 ; 	0,98 ; 	30 ; 	5,91 ; 	6 ; 	1,18 ; 	4 ; 	0,79 ; 	8 ; 	1,57 ; 	0 ; 	0 ;41784,6034302894;41784,6034302894;41784,6034302894;41784,6034302894
40433;Polling im Innkreis           ;778; 	324 ; 	41,65 ; 	9 ; 	2,78 ; 	315 ; 	97,22 ; 	142 ; 	45,08 ; 	45 ; 	14,29 ; 	0 ; 	0 ; 	99 ; 	31,43 ; 	11 ; 	3,49 ; 	0 ; 	0 ; 	9 ; 	2,86 ; 	1 ; 	0,32 ; 	1 ; 	0,32 ; 	7 ; 	2,22 ; 	0 ; 	0 ;41784,5318957986;41784,5318957986;41784,5318957986;41784,5318957986
40434;Roßbach                       ;784; 	379 ; 	48,34 ; 	23 ; 	6,07 ; 	356 ; 	93,93 ; 	137 ; 	38,48 ; 	76 ; 	21,35 ; 	0 ; 	0 ; 	94 ; 	26,40 ; 	17 ; 	4,78 ; 	2 ; 	0,56 ; 	20 ; 	5,62 ; 	2 ; 	0,56 ; 	0 ; 	0 ; 	8 ; 	2,25 ; 	0 ; 	0 ;41784,5361289352;41784,5361289352;41784,5361289352;41784,5361289352
40435;St.Georgen am Fillmannsbach   ;324; 	122 ; 	37,65 ; 	8 ; 	6,56 ; 	114 ; 	93,44 ; 	31 ; 	27,19 ; 	8 ; 	7,02 ; 	0 ; 	0 ; 	54 ; 	47,37 ; 	8 ; 	7,02 ; 	1 ; 	0,88 ; 	6 ; 	5,26 ; 	4 ; 	3,51 ; 	1 ; 	0,88 ; 	1 ; 	0,88 ; 	0 ; 	0 ;41784,5451408218;41784,5451408218;41784,5451408218;41784,5451408218
40436;St.Johann am Walde            ;1.669; 	528 ; 	31,64 ; 	39 ; 	7,39 ; 	489 ; 	92,61 ; 	183 ; 	37,42 ; 	115 ; 	23,52 ; 	0 ; 	0 ; 	106 ; 	21,68 ; 	48 ; 	9,82 ; 	0 ; 	0 ; 	22 ; 	4,50 ; 	5 ; 	1,02 ; 	4 ; 	0,82 ; 	6 ; 	1,23 ; 	0 ; 	0 ;41784,5444018519;41784,5444018519;41784,5444018519;41784,5444018519
40437;St.Pantaleon                  ;2.342; 	871 ; 	37,19 ; 	23 ; 	2,64 ; 	848 ; 	97,36 ; 	248 ; 	29,25 ; 	200 ; 	23,58 ; 	0 ; 	0 ; 	210 ; 	24,76 ; 	85 ; 	10,02 ; 	3 ; 	0,35 ; 	46 ; 	5,42 ; 	9 ; 	1,06 ; 	21 ; 	2,48 ; 	26 ; 	3,07 ; 	0 ; 	0 ;41784,6035548264;41784,6035548264;41784,6035548264;41784,6035548264
40438;St.Peter am Hart              ;1.856; 	626 ; 	33,73 ; 	21 ; 	3,35 ; 	605 ; 	96,65 ; 	195 ; 	32,23 ; 	123 ; 	20,33 ; 	0 ; 	0 ; 	133 ; 	21,98 ; 	96 ; 	15,87 ; 	1 ; 	0,17 ; 	31 ; 	5,12 ; 	5 ; 	0,83 ; 	10 ; 	1,65 ; 	11 ; 	1,82 ; 	0 ; 	0 ;41784,5843467245;41784,5843467245;41784,5843467245;41784,5843467245
40439;St.Radegund                   ;484; 	231 ; 	47,73 ; 	12 ; 	5,19 ; 	219 ; 	94,81 ; 	131 ; 	59,82 ; 	15 ; 	6,85 ; 	0 ; 	0 ; 	18 ; 	8,22 ; 	37 ; 	16,89 ; 	0 ; 	0 ; 	9 ; 	4,11 ; 	1 ; 	0,46 ; 	1 ; 	0,46 ; 	7 ; 	3,20 ; 	0 ; 	0 ;41784,5320445602;41784,5320445602;41784,5525954051;41784,5525954051
40440;St.Veit im Innkreis           ;334; 	168 ; 	50,30 ; 	6 ; 	3,57 ; 	162 ; 	96,43 ; 	59 ; 	36,42 ; 	42 ; 	25,93 ; 	0 ; 	0 ; 	39 ; 	24,07 ; 	12 ; 	7,41 ; 	0 ; 	0 ; 	5 ; 	3,09 ; 	0 ; 	0 ; 	1 ; 	0,62 ; 	4 ; 	2,47 ; 	0 ; 	0 ;41784,4905073727;41784,4905073727;41784,4905073727;41784,4905073727
40441;Schalchen                     ;2.884; 	1.024 ; 	35,51 ; 	39 ; 	3,81 ; 	985 ; 	96,19 ; 	215 ; 	21,83 ; 	263 ; 	26,70 ; 	0 ; 	0 ; 	253 ; 	25,69 ; 	111 ; 	11,27 ; 	5 ; 	0,51 ; 	68 ; 	6,90 ; 	17 ; 	1,73 ; 	12 ; 	1,22 ; 	41 ; 	4,16 ; 	0 ; 	0 ;41784,594940081;41784,594940081;41784,594940081;41784,594940081
40442;Schwand im Innkreis           ;732; 	290 ; 	39,62 ; 	8 ; 	2,76 ; 	282 ; 	97,24 ; 	111 ; 	39,36 ; 	35 ; 	12,41 ; 	0 ; 	0 ; 	58 ; 	20,57 ; 	35 ; 	12,41 ; 	5 ; 	1,77 ; 	17 ; 	6,03 ; 	3 ; 	1,06 ; 	5 ; 	1,77 ; 	13 ; 	4,61 ; 	0 ; 	0 ;41784,5449960301;41784,5449960301;41784,5449960301;41784,5449960301
40443;Tarsdorf                      ;1.622; 	553 ; 	34,09 ; 	18 ; 	3,25 ; 	535 ; 	96,75 ; 	220 ; 	41,12 ; 	64 ; 	11,96 ; 	0 ; 	0 ; 	126 ; 	23,55 ; 	58 ; 	10,84 ; 	0 ; 	0 ; 	36 ; 	6,73 ; 	10 ; 	1,87 ; 	6 ; 	1,12 ; 	15 ; 	2,80 ; 	0 ; 	0 ;41784,5747976852;41784,5747976852;41784,5840984144;41784,5840984144
40444;Treubach                      ;591; 	232 ; 	39,26 ; 	9 ; 	3,88 ; 	223 ; 	96,12 ; 	112 ; 	50,22 ; 	8 ; 	3,59 ; 	0 ; 	0 ; 	65 ; 	29,15 ; 	21 ; 	9,42 ; 	2 ; 	0,90 ; 	7 ; 	3,14 ; 	4 ; 	1,79 ; 	1 ; 	0,45 ; 	3 ; 	1,35 ; 	0 ; 	0 ;41784,5171827199;41784,5171827199;41784,5171827199;41784,5171827199
40445;Überackern                    ;452; 	174 ; 	38,50 ; 	9 ; 	5,17 ; 	165 ; 	94,83 ; 	65 ; 	39,39 ; 	34 ; 	20,61 ; 	0 ; 	0 ; 	38 ; 	23,03 ; 	14 ; 	8,48 ; 	0 ; 	0 ; 	6 ; 	3,64 ; 	1 ; 	0,61 ; 	2 ; 	1,21 ; 	5 ; 	3,03 ; 	0 ; 	0 ;41784,5214965278;41784,5214965278;41784,573715544;41784,573715544
40446;Weng im Innkreis              ;1.151; 	467 ; 	40,57 ; 	18 ; 	3,85 ; 	449 ; 	96,15 ; 	163 ; 	36,30 ; 	66 ; 	14,70 ; 	0 ; 	0 ; 	139 ; 	30,96 ; 	28 ; 	6,24 ; 	2 ; 	0,45 ; 	37 ; 	8,24 ; 	0 ; 	0 ; 	5 ; 	1,11 ; 	9 ; 	2,00 ; 	0 ; 	0 ;41784,5532629282;41784,5532629282;41784,5532629282;41784,5532629282
40499;Wahlkarten Braunau am Inn                ;0; 	3.223 ; 	0 ; 	64 ; 	1,99 ; 	3.159 ; 	98,01 ; 	782 ; 	24,75 ; 	714 ; 	22,60 ; 	0 ; 	0 ; 	524 ; 	16,59 ; 	546 ; 	17,28 ; 	17 ; 	0,54 ; 	320 ; 	10,13 ; 	37 ; 	1,17 ; 	71 ; 	2,25 ; 	148 ; 	4,69 ; 	0 ; 	0 ;41785,486425463;41785,486425463;41785,486425463;41785,486425463
40500;Bezirk Eferding                      ;25.583; 	12.627 ; 	49,36 ; 	463 ; 	3,67 ; 	12.164 ; 	96,33 ; 	3.611 ; 	29,69 ; 	2.856 ; 	23,48 ; 	0 ; 	0 ; 	2.715 ; 	22,32 ; 	1.473 ; 	12,11 ; 	57 ; 	0,47 ; 	779 ; 	6,40 ; 	84 ; 	0,69 ; 	218 ; 	1,79 ; 	371 ; 	3,05 ; 	0 ; 	0 ;41784,6846060185;41784,6846060185;41785,4822086806;41785,4822086806
40501;Alkoven                       ;4.454; 	2.178 ; 	48,90 ; 	69 ; 	3,17 ; 	2.109 ; 	96,83 ; 	467 ; 	22,14 ; 	663 ; 	31,44 ; 	0 ; 	0 ; 	466 ; 	22,10 ; 	235 ; 	11,14 ; 	11 ; 	0,52 ; 	164 ; 	7,78 ; 	11 ; 	0,52 ; 	34 ; 	1,61 ; 	58 ; 	2,75 ; 	0 ; 	0 ;41784,6335250347;41784,6335250347;41784,6335250347;41784,6335250347
40502;Aschach an der Donau          ;1.650; 	816 ; 	49,45 ; 	30 ; 	3,68 ; 	786 ; 	96,32 ; 	184 ; 	23,41 ; 	218 ; 	27,74 ; 	0 ; 	0 ; 	187 ; 	23,79 ; 	119 ; 	15,14 ; 	2 ; 	0,25 ; 	39 ; 	4,96 ; 	3 ; 	0,38 ; 	9 ; 	1,15 ; 	25 ; 	3,18 ; 	0 ; 	0 ;41784,6846059838;41784,6846059838;41784,6846059838;41784,6846059838
40503;Eferding                      ;2.888; 	1.088 ; 	37,67 ; 	23 ; 	2,11 ; 	1.065 ; 	97,89 ; 	314 ; 	29,48 ; 	262 ; 	24,60 ; 	0 ; 	0 ; 	212 ; 	19,91 ; 	144 ; 	13,52 ; 	5 ; 	0,47 ; 	66 ; 	6,20 ; 	7 ; 	0,66 ; 	28 ; 	2,63 ; 	27 ; 	2,54 ; 	0 ; 	0 ;41784,6688048264;41784,6688048264;41784,6688048264;41784,6688048264
40504;Fraham                        ;1.854; 	786 ; 	42,39 ; 	33 ; 	4,20 ; 	753 ; 	95,80 ; 	172 ; 	22,84 ; 	209 ; 	27,76 ; 	0 ; 	0 ; 	186 ; 	24,70 ; 	85 ; 	11,29 ; 	1 ; 	0,13 ; 	52 ; 	6,91 ; 	5 ; 	0,66 ; 	18 ; 	2,39 ; 	25 ; 	3,32 ; 	0 ; 	0 ;41784,5786457986;41784,5786457986;41784,5786457986;41784,5786457986
40505;Haibach ob der Donau          ;1.090; 	464 ; 	42,57 ; 	22 ; 	4,74 ; 	442 ; 	95,26 ; 	181 ; 	40,95 ; 	108 ; 	24,43 ; 	0 ; 	0 ; 	53 ; 	11,99 ; 	65 ; 	14,71 ; 	0 ; 	0 ; 	19 ; 	4,30 ; 	3 ; 	0,68 ; 	3 ; 	0,68 ; 	10 ; 	2,26 ; 	0 ; 	0 ;41784,5741748032;41784,5741748032;41784,5741748032;41784,5741748032
40506;Hartkirchen                   ;3.347; 	1.447 ; 	43,23 ; 	66 ; 	4,56 ; 	1.381 ; 	95,44 ; 	472 ; 	34,18 ; 	268 ; 	19,41 ; 	0 ; 	0 ; 	308 ; 	22,30 ; 	160 ; 	11,59 ; 	11 ; 	0,80 ; 	71 ; 	5,14 ; 	8 ; 	0,58 ; 	22 ; 	1,59 ; 	61 ; 	4,42 ; 	0 ; 	0 ;41784,6689783218;41784,6689783218;41784,6689783218;41784,6689783218
40507;Hinzenbach                    ;1.580; 	768 ; 	48,61 ; 	30 ; 	3,91 ; 	738 ; 	96,09 ; 	214 ; 	29,00 ; 	175 ; 	23,71 ; 	0 ; 	0 ; 	202 ; 	27,37 ; 	67 ; 	9,08 ; 	1 ; 	0,14 ; 	38 ; 	5,15 ; 	5 ; 	0,68 ; 	15 ; 	2,03 ; 	21 ; 	2,85 ; 	0 ; 	0 ;41784,644418831;41784,644418831;41784,644418831;41784,644418831
40508;Prambachkirchen               ;2.244; 	1.005 ; 	44,79 ; 	42 ; 	4,18 ; 	963 ; 	95,82 ; 	395 ; 	41,02 ; 	163 ; 	16,93 ; 	0 ; 	0 ; 	211 ; 	21,91 ; 	87 ; 	9,03 ; 	7 ; 	0,73 ; 	53 ; 	5,50 ; 	13 ; 	1,35 ; 	16 ; 	1,66 ; 	18 ; 	1,87 ; 	0 ; 	0 ;41784,6123168171;41784,6123168171;41784,6123168171;41784,6123168171
40509;Pupping                       ;1.570; 	719 ; 	45,80 ; 	29 ; 	4,03 ; 	690 ; 	95,97 ; 	207 ; 	30,00 ; 	135 ; 	19,57 ; 	0 ; 	0 ; 	180 ; 	26,09 ; 	93 ; 	13,48 ; 	3 ; 	0,43 ; 	41 ; 	5,94 ; 	4 ; 	0,58 ; 	11 ; 	1,59 ; 	16 ; 	2,32 ; 	0 ; 	0 ;41784,6386945602;41784,6386945602;41784,6386945602;41784,6386945602
40510;St.Marienkirchen an d. Polsenz;1.854; 	874 ; 	47,14 ; 	43 ; 	4,92 ; 	831 ; 	95,08 ; 	284 ; 	34,18 ; 	159 ; 	19,13 ; 	0 ; 	0 ; 	199 ; 	23,95 ; 	95 ; 	11,43 ; 	1 ; 	0,12 ; 	51 ; 	6,14 ; 	5 ; 	0,60 ; 	10 ; 	1,20 ; 	27 ; 	3,25 ; 	0 ; 	0 ;41784,6071238426;41784,6071238426;41784,6071238426;41784,6071238426
40511;Scharten                      ;1.728; 	880 ; 	50,93 ; 	21 ; 	2,39 ; 	859 ; 	97,61 ; 	214 ; 	24,91 ; 	198 ; 	23,05 ; 	0 ; 	0 ; 	243 ; 	28,29 ; 	105 ; 	12,22 ; 	1 ; 	0,12 ; 	53 ; 	6,17 ; 	10 ; 	1,16 ; 	19 ; 	2,21 ; 	16 ; 	1,86 ; 	0 ; 	0 ;41784,6690999653;41784,6690999653;41784,6690999653;41784,6690999653
40512;Stroheim                      ;1.324; 	533 ; 	40,26 ; 	34 ; 	6,38 ; 	499 ; 	93,62 ; 	209 ; 	41,88 ; 	56 ; 	11,22 ; 	0 ; 	0 ; 	109 ; 	21,84 ; 	58 ; 	11,62 ; 	6 ; 	1,20 ; 	33 ; 	6,61 ; 	3 ; 	0,60 ; 	4 ; 	0,80 ; 	21 ; 	4,21 ; 	0 ; 	0 ;41784,5936153588;41784,5936153588;41784,5936153588;41784,5936153588
40599;Wahlkarten Eferding                      ;0; 	1.069 ; 	0 ; 	21 ; 	1,96 ; 	1.048 ; 	98,04 ; 	298 ; 	28,44 ; 	242 ; 	23,09 ; 	0 ; 	0 ; 	159 ; 	15,17 ; 	160 ; 	15,27 ; 	8 ; 	0,76 ; 	99 ; 	9,45 ; 	7 ; 	0,67 ; 	29 ; 	2,77 ; 	46 ; 	4,39 ; 	0 ; 	0 ;41785,4822082176;41785,4822082176;41785,4822082176;41785,4822082176
40600;Bezirk Freistadt                     ;52.983; 	27.372 ; 	51,66 ; 	1.327 ; 	4,85 ; 	26.045 ; 	95,15 ; 	9.412 ; 	36,14 ; 	5.900 ; 	22,65 ; 	0 ; 	0 ; 	4.269 ; 	16,39 ; 	3.391 ; 	13,02 ; 	163 ; 	0,63 ; 	1.518 ; 	5,83 ; 	380 ; 	1,46 ; 	413 ; 	1,59 ; 	599 ; 	2,30 ; 	0 ; 	0 ;41784,7110193634;41784,7110193634;41785,4578541319;41785,4578541319
40601;Freistadt                     ;5.893; 	2.607 ; 	44,24 ; 	104 ; 	3,99 ; 	2.503 ; 	96,01 ; 	669 ; 	26,73 ; 	634 ; 	25,33 ; 	0 ; 	0 ; 	473 ; 	18,90 ; 	417 ; 	16,66 ; 	32 ; 	1,28 ; 	150 ; 	5,99 ; 	23 ; 	0,92 ; 	44 ; 	1,76 ; 	61 ; 	2,44 ; 	0 ; 	0 ;41784,711019294;41784,711019294;41784,7930320602;41784,7930320602
40602;Grünbach                      ;1.511; 	687 ; 	45,47 ; 	26 ; 	3,78 ; 	661 ; 	96,22 ; 	248 ; 	37,52 ; 	107 ; 	16,19 ; 	0 ; 	0 ; 	158 ; 	23,90 ; 	71 ; 	10,74 ; 	13 ; 	1,97 ; 	34 ; 	5,14 ; 	6 ; 	0,91 ; 	11 ; 	1,66 ; 	13 ; 	1,97 ; 	0 ; 	0 ;41784,644849919;41784,644849919;41784,644849919;41784,644849919
40603;Gutau                         ;2.199; 	911 ; 	41,43 ; 	35 ; 	3,84 ; 	876 ; 	96,16 ; 	324 ; 	36,99 ; 	275 ; 	31,39 ; 	0 ; 	0 ; 	99 ; 	11,30 ; 	89 ; 	10,16 ; 	6 ; 	0,68 ; 	41 ; 	4,68 ; 	6 ; 	0,68 ; 	10 ; 	1,14 ; 	26 ; 	2,97 ; 	0 ; 	0 ;41784,7047551273;41784,7047551273;41784,7047551273;41784,7047551273
40604;Hagenberg im Mühlkreis        ;2.221; 	997 ; 	44,89 ; 	45 ; 	4,51 ; 	952 ; 	95,49 ; 	206 ; 	21,64 ; 	230 ; 	24,16 ; 	0 ; 	0 ; 	182 ; 	19,12 ; 	167 ; 	17,54 ; 	2 ; 	0,21 ; 	78 ; 	8,19 ; 	30 ; 	3,15 ; 	30 ; 	3,15 ; 	27 ; 	2,84 ; 	0 ; 	0 ;41784,6805912037;41784,6805912037;41784,6805912037;41784,6805912037
40605;Hirschbach im Mühlkreis       ;952; 	525 ; 	55,15 ; 	20 ; 	3,81 ; 	505 ; 	96,19 ; 	241 ; 	47,72 ; 	99 ; 	19,60 ; 	0 ; 	0 ; 	49 ; 	9,70 ; 	78 ; 	15,45 ; 	1 ; 	0,20 ; 	17 ; 	3,37 ; 	7 ; 	1,39 ; 	2 ; 	0,40 ; 	11 ; 	2,18 ; 	0 ; 	0 ;41784,5351110301;41784,5351110301;41784,5351110301;41784,5351110301
40606;Kaltenberg                    ;504; 	298 ; 	59,13 ; 	23 ; 	7,72 ; 	275 ; 	92,28 ; 	174 ; 	63,27 ; 	10 ; 	3,64 ; 	0 ; 	0 ; 	51 ; 	18,55 ; 	16 ; 	5,82 ; 	3 ; 	1,09 ; 	13 ; 	4,73 ; 	4 ; 	1,45 ; 	2 ; 	0,73 ; 	2 ; 	0,73 ; 	0 ; 	0 ;41784,531637037;41784,531637037;41784,531637037;41784,531637037
40607;Kefermarkt                    ;1.651; 	738 ; 	44,70 ; 	38 ; 	5,15 ; 	700 ; 	94,85 ; 	246 ; 	35,14 ; 	179 ; 	25,57 ; 	0 ; 	0 ; 	107 ; 	15,29 ; 	92 ; 	13,14 ; 	1 ; 	0,14 ; 	45 ; 	6,43 ; 	6 ; 	0,86 ; 	8 ; 	1,14 ; 	16 ; 	2,29 ; 	0 ; 	0 ;41784,6344541319;41784,6344541319;41784,6344541319;41784,6344541319
40608;Königswiesen                  ;2.572; 	1.169 ; 	45,45 ; 	69 ; 	5,90 ; 	1.100 ; 	94,10 ; 	508 ; 	46,18 ; 	200 ; 	18,18 ; 	0 ; 	0 ; 	209 ; 	19,00 ; 	82 ; 	7,45 ; 	7 ; 	0,64 ; 	51 ; 	4,64 ; 	22 ; 	2,00 ; 	9 ; 	0,82 ; 	12 ; 	1,09 ; 	0 ; 	0 ;41784,6505312153;41784,6505312153;41784,6505312153;41784,6505312153
40609;Lasberg                       ;2.285; 	1.087 ; 	47,57 ; 	56 ; 	5,15 ; 	1.031 ; 	94,85 ; 	433 ; 	42,00 ; 	183 ; 	17,75 ; 	0 ; 	0 ; 	141 ; 	13,68 ; 	153 ; 	14,84 ; 	9 ; 	0,87 ; 	55 ; 	5,33 ; 	19 ; 	1,84 ; 	11 ; 	1,07 ; 	27 ; 	2,62 ; 	0 ; 	0 ;41784,6843017361;41784,6843017361;41784,6843017361;41784,6843017361
40610;Leopoldschlag                 ;848; 	467 ; 	55,07 ; 	32 ; 	6,85 ; 	435 ; 	93,15 ; 	238 ; 	54,71 ; 	45 ; 	10,34 ; 	0 ; 	0 ; 	72 ; 	16,55 ; 	42 ; 	9,66 ; 	2 ; 	0,46 ; 	23 ; 	5,29 ; 	2 ; 	0,46 ; 	3 ; 	0,69 ; 	8 ; 	1,84 ; 	0 ; 	0 ;41784,5421195255;41784,5421195255;41784,5421195255;41784,5421195255
40611;Liebenau                      ;1.390; 	672 ; 	48,35 ; 	40 ; 	5,95 ; 	632 ; 	94,05 ; 	316 ; 	50,00 ; 	128 ; 	20,25 ; 	0 ; 	0 ; 	103 ; 	16,30 ; 	26 ; 	4,11 ; 	3 ; 	0,47 ; 	26 ; 	4,11 ; 	6 ; 	0,95 ; 	5 ; 	0,79 ; 	19 ; 	3,01 ; 	0 ; 	0 ;41784,6096653935;41784,6096653935;41784,6096653935;41784,6096653935
40612;Neumarkt im Mühlkreis         ;2.534; 	1.245 ; 	49,13 ; 	48 ; 	3,86 ; 	1.197 ; 	96,14 ; 	404 ; 	33,75 ; 	266 ; 	22,22 ; 	0 ; 	0 ; 	205 ; 	17,13 ; 	168 ; 	14,04 ; 	10 ; 	0,84 ; 	64 ; 	5,35 ; 	12 ; 	1,00 ; 	34 ; 	2,84 ; 	34 ; 	2,84 ; 	0 ; 	0 ;41784,6878843403;41784,6878843403;41784,6878843403;41784,6878843403
40613;Pierbach                      ;802; 	345 ; 	43,02 ; 	17 ; 	4,93 ; 	328 ; 	95,07 ; 	145 ; 	44,21 ; 	53 ; 	16,16 ; 	0 ; 	0 ; 	63 ; 	19,21 ; 	28 ; 	8,54 ; 	3 ; 	0,91 ; 	12 ; 	3,66 ; 	8 ; 	2,44 ; 	4 ; 	1,22 ; 	12 ; 	3,66 ; 	0 ; 	0 ;41784,5435589931;41784,5435589931;41784,5435589931;41784,5435589931
40614;Pregarten                     ;4.196; 	1.915 ; 	45,64 ; 	96 ; 	5,01 ; 	1.819 ; 	94,99 ; 	500 ; 	27,49 ; 	522 ; 	28,70 ; 	0 ; 	0 ; 	330 ; 	18,14 ; 	236 ; 	12,97 ; 	10 ; 	0,55 ; 	126 ; 	6,93 ; 	33 ; 	1,81 ; 	32 ; 	1,76 ; 	30 ; 	1,65 ; 	0 ; 	0 ;41784,673137963;41784,673137963;41784,673137963;41784,673137963
40615;Rainbach im Mühlkreis         ;2.329; 	1.027 ; 	44,10 ; 	37 ; 	3,60 ; 	990 ; 	96,40 ; 	469 ; 	47,37 ; 	207 ; 	20,91 ; 	0 ; 	0 ; 	115 ; 	11,62 ; 	88 ; 	8,89 ; 	2 ; 	0,20 ; 	66 ; 	6,67 ; 	24 ; 	2,42 ; 	6 ; 	0,61 ; 	13 ; 	1,31 ; 	0 ; 	0 ;41784,6287248032;41784,6287248032;41784,6287248032;41784,6287248032
40616;Sandl                         ;1.167; 	592 ; 	50,73 ; 	45 ; 	7,60 ; 	547 ; 	92,40 ; 	167 ; 	30,53 ; 	169 ; 	30,90 ; 	0 ; 	0 ; 	80 ; 	14,63 ; 	62 ; 	11,33 ; 	1 ; 	0,18 ; 	27 ; 	4,94 ; 	15 ; 	2,74 ; 	3 ; 	0,55 ; 	23 ; 	4,20 ; 	0 ; 	0 ;41784,6770162037;41784,6770162037;41784,6770162037;41784,6770162037
40617;St.Leonhard bei Freistadt     ;1.147; 	546 ; 	47,60 ; 	41 ; 	7,51 ; 	505 ; 	92,49 ; 	210 ; 	41,58 ; 	130 ; 	25,74 ; 	0 ; 	0 ; 	83 ; 	16,44 ; 	35 ; 	6,93 ; 	1 ; 	0,20 ; 	27 ; 	5,35 ; 	4 ; 	0,79 ; 	9 ; 	1,78 ; 	6 ; 	1,19 ; 	0 ; 	0 ;41784,6735555208;41784,6735555208;41784,6735555208;41784,6735555208
40618;St.Oswald bei Freistadt       ;2.259; 	850 ; 	37,63 ; 	41 ; 	4,82 ; 	809 ; 	95,18 ; 	284 ; 	35,11 ; 	224 ; 	27,69 ; 	0 ; 	0 ; 	141 ; 	17,43 ; 	78 ; 	9,64 ; 	4 ; 	0,49 ; 	28 ; 	3,46 ; 	18 ; 	2,22 ; 	6 ; 	0,74 ; 	26 ; 	3,21 ; 	0 ; 	0 ;41784,6851620023;41784,6851620023;41784,6851620023;41784,6851620023
