Europawahl 2014 - Stimmen;;;;;;;Stand:;41785,6680579051;;;;;;;;;;;;;;;;;;;;;;;;;;
Nr.;Name;Wahlbe-;abgegeb.;Wahlbet.;ungültige;;gültige;;ÖVP;;SPÖ;;leer;;FPÖ;;GRÜNE;;BZÖ;;NEOS;;REKOS;;ANDERS;;EUSTOP;;WANDL;;erste Eingabe;;letzte Eingabe;
;;rechtigte;Stimmen;in %;Stimmen;in %;Stimmen;in %;Stimmen;Ant. %;Stimmen;Ant. %;Stimmen;Ant. %;Stimmen;Ant. %;Stimmen;Ant. %;Stimmen;Ant. %;Stimmen;Ant. %;Stimmen;Ant. %;Stimmen;Ant. %;Stimmen;Ant. %;Stimmen;Ant. %;Datum;Zeit;Datum;Zeit
40199;Wahlkarten Linz;0; 	8.731 ; 	0 ; 	127 ; 	1,45 ; 	8.604 ; 	98,55 ; 	1.797 ; 	20,89 ; 	2.380 ; 	27,66 ; 	0 ; 	0 ; 	1.016 ; 	11,81 ; 	1.883 ; 	21,89 ; 	27 ; 	0,31 ; 	970 ; 	11,27 ; 	72 ; 	0,84 ; 	282 ; 	3,28 ; 	177 ; 	2,06 ; 	0 ; 	0 ;41785,5422792477;41785,5422792477;41785,6377030903;41785,6377030903
40200;Stadt Steyr                         ;28.148; 	12.714 ; 	45,17 ; 	344 ; 	2,71 ; 	12.370 ; 	97,29 ; 	1.844 ; 	14,91 ; 	4.344 ; 	35,12 ; 	0 ; 	0 ; 	2.686 ; 	21,71 ; 	1.779 ; 	14,38 ; 	48 ; 	0,39 ; 	882 ; 	7,13 ; 	137 ; 	1,11 ; 	304 ; 	2,46 ; 	346 ; 	2,80 ; 	0 ; 	0 ;41784,761772419;41784,761772419;41785,4886527431;41785,4886527431
40201;Steyr             ;28.148; 	11.430 ; 	40,61 ; 	319 ; 	2,79 ; 	11.111 ; 	97,21 ; 	1.592 ; 	14,33 ; 	3.937 ; 	35,43 ; 	0 ; 	0 ; 	2.528 ; 	22,75 ; 	1.543 ; 	13,89 ; 	44 ; 	0,40 ; 	762 ; 	6,86 ; 	119 ; 	1,07 ; 	277 ; 	2,49 ; 	309 ; 	2,78 ; 	0 ; 	0 ;41784,761772338;41784,761772338;41784,761772338;41784,761772338
40299;Wahlkarten Steyr                         ;0; 	1.284 ; 	0 ; 	25 ; 	1,95 ; 	1.259 ; 	98,05 ; 	252 ; 	20,02 ; 	407 ; 	32,33 ; 	0 ; 	0 ; 	158 ; 	12,55 ; 	236 ; 	18,75 ; 	4 ; 	0,32 ; 	120 ; 	9,53 ; 	18 ; 	1,43 ; 	27 ; 	2,14 ; 	37 ; 	2,94 ; 	0 ; 	0 ;41785,4886526273;41785,4886526273;41785,4886526273;41785,4886526273
40300;Stadt Wels                          ;40.404; 	18.345 ; 	45,40 ; 	492 ; 	2,68 ; 	17.853 ; 	97,32 ; 	3.287 ; 	18,41 ; 	5.078 ; 	28,44 ; 	0 ; 	0 ; 	4.716 ; 	26,42 ; 	2.490 ; 	13,95 ; 	79 ; 	0,44 ; 	1.283 ; 	7,19 ; 	169 ; 	0,95 ; 	354 ; 	1,98 ; 	397 ; 	2,22 ; 	0 ; 	0 ;41784,7556606481;41784,7556606481;41785,515009838;41785,515009838
40301;Wels;40.404; 	16.392 ; 	40,57 ; 	467 ; 	2,85 ; 	15.925 ; 	97,15 ; 	2.884 ; 	18,11 ; 	4.524 ; 	28,41 ; 	0 ; 	0 ; 	4.389 ; 	27,56 ; 	2.153 ; 	13,52 ; 	68 ; 	0,43 ; 	1.072 ; 	6,73 ; 	155 ; 	0,97 ; 	317 ; 	1,99 ; 	363 ; 	2,28 ; 	0 ; 	0 ;41784,7556606134;41784,7556606134;41784,7556606134;41784,7556606134
40399;Wahlkarten Wels                          ;0; 	1.953 ; 	0 ; 	25 ; 	1,28 ; 	1.928 ; 	98,72 ; 	403 ; 	20,90 ; 	554 ; 	28,73 ; 	0 ; 	0 ; 	327 ; 	16,96 ; 	337 ; 	17,48 ; 	11 ; 	0,57 ; 	211 ; 	10,94 ; 	14 ; 	0,73 ; 	37 ; 	1,92 ; 	34 ; 	1,76 ; 	0 ; 	0 ;41785,5150096065;41785,5150096065;41785,5150096065;41785,5150096065
40400;Bezirk Braunau am Inn                ;75.916; 	30.849 ; 	40,64 ; 	1.124 ; 	3,64 ; 	29.725 ; 	96,36 ; 	9.486 ; 	31,91 ; 	6.058 ; 	20,38 ; 	0 ; 	0 ; 	6.995 ; 	23,53 ; 	3.384 ; 	11,38 ; 	151 ; 	0,51 ; 	1.971 ; 	6,63 ; 	366 ; 	1,23 ; 	421 ; 	1,42 ; 	893 ; 	3,00 ; 	0 ; 	0 ;41784,669065544;41784,669065544;41785,486425544;41785,486425544
40401;Altheim                       ;3.811; 	1.501 ; 	39,39 ; 	56 ; 	3,73 ; 	1.445 ; 	96,27 ; 	378 ; 	26,16 ; 	346 ; 	23,94 ; 	0 ; 	0 ; 	430 ; 	29,76 ; 	152 ; 	10,52 ; 	1 ; 	0,07 ; 	79 ; 	5,47 ; 	7 ; 	0,48 ; 	15 ; 	1,04 ; 	37 ; 	2,56 ; 	0 ; 	0 ;41784,6690655093;41784,6690655093;41784,6905175116;41784,6905175116
40402;Aspach                        ;1.964; 	710 ; 	36,15 ; 	22 ; 	3,10 ; 	688 ; 	96,90 ; 	317 ; 	46,08 ; 	88 ; 	12,79 ; 	0 ; 	0 ; 	160 ; 	23,26 ; 	61 ; 	8,87 ; 	3 ; 	0,44 ; 	28 ; 	4,07 ; 	13 ; 	1,89 ; 	7 ; 	1,02 ; 	11 ; 	1,60 ; 	0 ; 	0 ;41784,5316229977;41784,5316229977;41784,5316229977;41784,5316229977
